,date,promoter,strain,atc_ngml,xan_mgml,mean_FITC,fold_change
0,20190208,27yfp,dilution,10.0,0.75,4805.455182424615,7.096231357136463
1,20190208,27yfp,dilution,10.0,8.0,18007.154973429868,26.591224540522166
2,20190208,27yfp,dilution,10.0,1.5,8322.309533625454,12.289581659673534
3,20190208,27yfp,dilution,10.0,5.0,21294.58569191055,31.44578421558001
4,20190208,27yfp,auto,10.0,0.0,653.1627654585119,0.9645275882527435
5,20190208,27yfp,dilution,10.0,0.0,658.1678095667853,0.9719185532283154
6,20190208,27yfp,dilution,10.0,0.25,1617.401241371156,2.388421693758974
7,20190208,27yfp,dilution,10.0,0.5,4943.198278960693,7.2996370375064155
8,20190208,27yfp,dilution,10.0,7.0,23934.405465533928,35.34401469399296
9,20190208,27yfp,dilution,10.0,2.0,11523.871198706684,17.017338223223973
10,20190208,27yfp,delta,10.0,0.0,677.1841193694897,1.0
11,20190208,27yfp,dilution,10.0,1.0,9679.833044706862,14.294241060643193
12,20190208,27yfp,dilution,10.0,10.0,17607.139863653185,26.000520921912315
13,20190208,27yfp,dilution,10.0,0.1,710.0176682291112,1.048485408798706
14,20190208,27yfp,dilution,10.0,4.0,22473.28303801575,33.186370434882754
15,20190208,27yfp,dilution,10.0,3.0,15564.162442110146,22.98364949343699
16,20190208,27yfp,dilution,10.0,2.5,18731.73343249677,27.66121191669032
17,20190208,27yfp,dilution,10.0,6.0,21768.581751413683,32.14573574419007
18,20190208,27yfp,dilution,10.0,0.05,660.952924142344,0.9760313410151169
19,20190208,27yfp,dilution,10.0,3.5,18053.339297319,26.65942508239567
