,date,promoter,strain,atc_ngml,xan_mgml,mean_FITC,fold_change
0,20190208,27yfp,dilution,10.0,8.0,93438.4157797299,139.39470427962635
1,20190208,27yfp,dilution,10.0,5.0,53311.674345290434,79.53222470650695
2,20190208,27yfp,dilution,10.0,0.5,5617.464153471635,8.380329952516707
3,20190208,27yfp,dilution,10.0,0.0,681.4147202798356,1.0165583676965309
4,20190208,27yfp,dilution,10.0,1.5,31607.873254715945,47.15373338130644
5,20190208,27yfp,auto,10.0,0.0,630.8386219200364,0.9411071711447705
6,20190208,27yfp,dilution,10.0,0.25,1314.932271755183,1.961662059865682
7,20190208,27yfp,dilution,10.0,7.0,77539.30457207041,115.67585281359614
8,20190208,27yfp,dilution,10.0,0.75,12378.203327008987,18.466237659134386
9,20190208,27yfp,dilution,10.0,2.0,44292.403717541434,66.0769606003947
10,20190208,27yfp,dilution,10.0,1.0,17449.62184574343,26.031957591327053
11,20190208,27yfp,dilution,10.0,0.1,725.5892094144309,1.0824594191884196
12,20190208,27yfp,dilution,10.0,10.0,64826.65940693393,96.7106830959986
13,20190208,27yfp,dilution,10.0,0.05,682.3535614518097,1.0179589638693232
14,20190208,27yfp,dilution,10.0,4.0,50126.43185324091,74.78036829356395
15,20190208,27yfp,delta,10.0,0.0,670.315391553843,1.0
16,20190208,27yfp,dilution,10.0,3.0,48948.10481001881,73.02249870251869
17,20190208,27yfp,dilution,10.0,3.5,48031.19053359652,71.65461384118974
18,20190208,27yfp,dilution,10.0,6.0,73180.77376347085,109.17364375869714
19,20190208,27yfp,dilution,10.0,2.5,42949.575752020464,64.07368276664515
