,date,promoter,strain,atc_ngml,xan_mgml,mean_FITC,fold_change
0,20190131,27yfp,dilution,10.0,2.0,25357.844502948028,897.7296922777846
1,20190131,27yfp,dilution,10.0,0.1,580.8810276026412,3.820478157136671
2,20190131,27yfp,dilution,10.0,7.0,32040.321201323895,1138.821684836467
3,20190131,27yfp,dilution,10.0,0.0,530.14353497353,1.98995876327827
4,20190131,27yfp,dilution,10.0,8.0,39595.613113232226,1411.4033134184542
5,20190131,27yfp,dilution,10.0,5.0,55509.538568674674,1985.5497221018466
6,20190131,27yfp,auto,10.0,0.0,474.98677540965036,0.0
7,20190131,27yfp,dilution,10.0,6.0,23285.507512590862,822.9634227029574
8,20190131,27yfp,dilution,10.0,0.5,2208.2841422500455,62.534316950155954
9,20190131,27yfp,dilution,10.0,3.0,44370.90205858237,1583.687330085168
10,20190131,27yfp,dilution,10.0,4.0,52608.703655788675,1880.8927063278215
11,20190131,27yfp,delta,10.0,0.0,502.70431437664587,1.0
12,20190131,27yfp,dilution,10.0,1.0,29920.082713560765,1062.3272135817213
13,20190131,27yfp,dilution,10.0,10.0,57968.79453259883,2074.275346943666
