,date,promoter,strain,atc_ngml,xan_mgml,mean_FITC,fold_change
0,20190204,28yfp,dilution,10.0,1.0,26490.804806454016,0.824137818195834
1,20190204,28yfp,dilution,10.0,4.0,32990.04086276746,6.138744713096556
2,20190204,28yfp,dilution,10.0,3.0,29949.67717634127,3.6525543868981414
3,20190204,28yfp,dilution,10.0,0.05,23241.56180977396,-1.8328589555386574
4,20190204,28yfp,dilution,10.0,0.5,23810.40854777263,-1.3676970857874065
5,20190204,28yfp,dilution,10.0,1.5,27651.48303240609,1.7732568298701084
6,20190204,28yfp,dilution,10.0,0.25,23058.418804387555,-1.9826201075795846
7,20190204,28yfp,dilution,10.0,3.5,31736.928618302885,5.11403982211994
8,20190204,28yfp,dilution,10.0,0.75,24942.04317224705,-0.44232783844365564
9,20190204,28yfp,dilution,10.0,2.5,29767.363520894854,3.503471417473013
10,20190204,28yfp,dilution,10.0,0.0,23868.374461832394,-1.3202967384447384
11,20190204,28yfp,delta,10.0,0.0,26705.866777268875,1.0
12,20190204,28yfp,auto,10.0,0.0,25482.966159247746,0.0
13,20190204,28yfp,dilution,10.0,0.1,23395.29915097829,-1.7071436366167445
14,20190204,28yfp,dilution,10.0,2.0,31487.996222384674,4.910480847457691
