,date,promoter,strain,atc_ngml,xan_mgml,mean_FITC,fold_change
0,20190211,27yfp,dilution,10.0,3.5,14089.603756151353,25.974669083029514
1,20190211,27yfp,delta,10.0,0.0,542.4363140532466,1.0
2,20190211,27yfp,dilution,10.0,1.0,5231.611061134159,9.644654912651394
3,20190211,27yfp,dilution,10.0,2.5,12851.670813901686,23.6924971299767
4,20190211,27yfp,dilution,10.0,4.0,835.8016333749998,1.5408290553588488
5,20190211,27yfp,dilution,10.0,0.05,535.2030358053836,0.9866652027888513
6,20190211,27yfp,dilution,10.0,0.1,378.40519894080893,0.6976029980611953
7,20190211,27yfp,dilution,10.0,3.0,969.1186415217387,1.7866035448109916
8,20190211,27yfp,dilution,10.0,6.0,14043.175397566692,25.889076807251122
9,20190211,27yfp,dilution,10.0,0.25,1080.3092554022985,1.991587265479894
10,20190211,27yfp,dilution,10.0,5.0,18017.218069026523,33.21536114423548
11,20190211,27yfp,auto,10.0,0.0,519.5089590268981,0.9577326325093752
12,20190211,27yfp,dilution,10.0,8.0,21673.363865477346,39.95559165928158
13,20190211,27yfp,dilution,10.0,10.0,26482.298260215666,48.82102760106896
14,20190211,27yfp,dilution,10.0,0.75,6919.063477417181,12.755531475604696
15,20190211,27yfp,dilution,10.0,0.0,519.4290173794716,0.9575852573330542
16,20190211,27yfp,dilution,10.0,0.5,2681.8251194815225,4.944036838983219
17,20190211,27yfp,dilution,10.0,7.0,16770.985718331387,30.917888946286723
18,20190211,27yfp,dilution,10.0,1.5,7262.101189638301,13.387933295567374
19,20190211,27yfp,dilution,10.0,2.0,9105.396617151802,16.786111809354264
