,date,promoter,strain,atc_ngml,xan_mgml,mean_FITC,fold_change
0,20190205,28yfp,dilution,10.0,0.0,27545.241885052103,0.5144291155744959
1,20190205,28yfp,dilution,10.0,1.5,26415.355698079045,-2.1600452276611866
2,20190205,28yfp,dilution,10.0,0.5,26950.42409863222,-0.8935223462820394
3,20190205,28yfp,dilution,10.0,0.25,26376.09295830787,-2.252981305094316
4,20190205,28yfp,dilution,10.0,2.0,26286.734561793422,-2.4644952979069976
5,20190205,28yfp,dilution,10.0,0.75,26258.23874484602,-2.5319457475133724
6,20190205,28yfp,delta,10.0,0.0,27750.3812001838,1.0
7,20190205,28yfp,dilution,10.0,0.05,27093.29338572626,-0.5553464776195238
8,20190205,28yfp,dilution,10.0,4.0,27078.72403223159,-0.5898325723857779
9,20190205,28yfp,auto,10.0,0.0,27327.910822095942,0.0
10,20190205,28yfp,dilution,10.0,1.0,26263.36507252077,-2.519811576833878
11,20190205,28yfp,dilution,10.0,0.1,26712.298478614193,-1.4571727993523924
12,20190205,28yfp,dilution,10.0,2.5,26308.429282782578,-2.4131432455161357
13,20190205,28yfp,dilution,10.0,3.0,26859.556354269407,-1.1086090105212867
14,20190205,28yfp,dilution,10.0,3.5,27827.085261206517,1.1815608028422864
