,date,promoter,strain,atc_ngml,xan_mgml,mean_FITC,fold_change
0,20190214,27yfp,auto,10.0,0.0,581.9178533314556,0.9828147364652198
1,20190214,27yfp,dilution,10.0,0.0,588.0938935154949,0.9932455958573577
2,20190214,27yfp,dilution,10.0,0.05,594.9056932600104,1.0047502045103365
3,20190214,27yfp,dilution,10.0,7.0,31623.36540387477,53.40944492014008
4,20190214,27yfp,dilution,10.0,1.5,9981.99348944097,16.858823362366433
5,20190214,27yfp,dilution,10.0,6.0,29308.028017658286,49.49901720249057
6,20190214,27yfp,dilution,10.0,1.0,5809.8140295384055,9.812331434176453
7,20190214,27yfp,dilution,10.0,10.0,22812.049257927403,38.52780603191302
8,20190214,27yfp,dilution,10.0,0.5,1268.0582387916422,2.1416533564758935
9,20190214,27yfp,dilution,10.0,4.0,14904.32828505481,25.17227026427693
10,20190214,27yfp,dilution,10.0,2.5,11612.790561081743,19.61311485732071
11,20190214,27yfp,dilution,10.0,5.0,22854.05985053826,38.598758708943315
12,20190214,27yfp,dilution,10.0,2.0,10609.355640978678,17.918390041927623
13,20190214,27yfp,dilution,10.0,3.5,16864.881397681973,28.48349448549911
14,20190214,27yfp,delta,10.0,0.0,592.0931298042749,1.0
15,20190214,27yfp,dilution,10.0,0.75,3301.3422975671765,5.57571458168833
16,20190214,27yfp,dilution,10.0,8.0,32625.555099945963,55.102066647405316
17,20190214,27yfp,dilution,10.0,0.1,597.993780902279,1.0099657482936082
18,20190214,27yfp,dilution,10.0,9.0,21083.355237390602,35.6081740795743
19,20190214,27yfp,dilution,10.0,0.25,802.2679965109444,1.3549692710944745
