,date,promoter,strain,atc_ngml,xan_mgml,mean_FITC,fold_change
0,20190206,28yfp,auto,10.0,0.0,30095.35919880493,0.9923889037566567
1,20190206,28yfp,dilution,10.0,2.0,25441.223365395093,0.8389196353840244
2,20190206,28yfp,dilution,10.0,1.5,30417.107099899455,1.0029984812913177
3,20190206,28yfp,dilution,10.0,0.25,28412.624084931693,0.9369010245810592
4,20190206,28yfp,dilution,10.0,0.5,27607.85972819709,0.9103640687505403
5,20190206,28yfp,dilution,10.0,0.0,29265.20069186789,0.9650145805195967
6,20190206,28yfp,dilution,10.0,0.75,28330.466136281055,0.9341918814185631
7,20190206,28yfp,dilution,10.0,0.05,21607.296399825602,0.7124966027393209
8,20190206,28yfp,dilution,10.0,3.0,31680.38404360553,1.0446548048800828
9,20190206,28yfp,dilution,10.0,2.5,30284.717317366256,0.9986329526964001
10,20190206,28yfp,dilution,10.0,3.5,32243.352765309686,1.0632185943630625
11,20190206,28yfp,delta,10.0,0.0,30326.174632626287,1.0
12,20190206,28yfp,dilution,10.0,1.0,23070.08975458986,0.7607319430842425
13,20190206,28yfp,dilution,10.0,0.1,21135.137764849183,0.6969272590718064
14,20190206,28yfp,dilution,10.0,4.0,33915.98453978364,1.1183733177904762
