area_pix,aspect_ratio,mean_yfp,mean_mch,position,strain,atc_ngml,xan_mgml,promoter,repressors,activators,corrected_yfp,fold_change,date
667.0,0.2466381856763531,305.856071964018,373.2728635682159,4.0,dilution,0.0,0.0,simple,1.0293153187145259,1.0293153187145259,305.856071964018,0.9256778464287126,20190122
522.0,0.2953926404939429,305.14559386973184,371.6264367816092,4.0,dilution,0.0,0.0,simple,0.6785452509686541,0.6785452509686541,305.14559386973184,0.9235275741518524,20190122
726.0,0.20166748928926706,309.0881542699724,375.8953168044076,4.0,dilution,0.0,0.0,simple,1.4017195864690848,1.4017195864690848,309.0881542699724,0.9354597904955553,20190122
939.0,0.20280648895869088,315.1064962726305,373.9488817891373,4.0,dilution,0.0,0.0,simple,1.5428730086081817,1.5428730086081817,315.1064962726305,0.9536743900237524,20190122
768.0,0.1934372361299201,326.1731770833333,367.99739583333326,4.0,dilution,0.0,0.0,simple,0.5864458556975174,0.5864458556975174,326.1731770833333,0.9871678603157873,20190122
517.0,0.27971696378766714,316.6808510638298,376.98259187620886,4.0,dilution,0.0,0.0,simple,1.0812636053014046,1.0812636053014046,316.6808510638298,0.9584391976774762,20190122
524.0,0.25843398850958393,322.956106870229,381.85496183206106,4.0,dilution,0.0,0.0,simple,1.4731997147670126,1.4731997147670126,322.956106870229,0.9774313505661077,20190122
368.0,0.38300218136760256,317.95652173913044,400.1875,4.0,dilution,0.0,0.0,simple,2.0315816743726196,2.0315816743726196,317.95652173913044,0.9623000335140245,20190122
722.0,0.19402257965753467,324.37396121883654,391.23545706371186,4.0,dilution,0.0,0.0,simple,3.0307279178735356,3.0307279178735356,324.37396121883654,0.9817225073560994,20190122
944.0,0.1820896895839806,319.68220338983053,382.1864406779662,4.0,dilution,0.0,0.0,simple,2.7002508661991906,2.7002508661991906,319.68220338983053,0.9675228341070745,20190122
432.0,0.37304767161154495,321.63425925925924,395.7453703703704,4.0,dilution,0.0,0.0,simple,2.10131354170865,2.10131354170865,321.63425925925924,0.9734307595627243,20190122
582.0,0.3006581979487415,323.90893470790377,397.86769759450175,4.0,dilution,0.0,0.0,simple,3.0134713161798845,3.0134713161798845,323.90893470790377,0.9803150978631039,20190122
374.0,0.389011685928537,307.24598930481284,372.14438502673795,4.0,dilution,0.0,0.0,simple,0.514787311676652,0.514787311676652,307.24598930481284,0.9298844514585851,20190122
807.0,0.20988766647473245,322.5117719950434,402.0309789343247,4.0,dilution,0.0,0.0,simple,4.674974145601301,4.674974145601301,322.5117719950434,0.9760865646093869,20190122
555.0,0.29974680154559313,313.69009009009017,391.80540540540534,4.0,dilution,0.0,0.0,simple,2.376460122998556,2.376460122998556,313.69009009009017,0.9493876161294074,20190122
416.0,0.405439079603416,311.32211538461536,368.92067307692315,4.0,dilution,0.0,0.0,simple,0.37441737931900787,0.37441737931900787,311.32211538461536,0.9422209062724278,20190122
767.0,0.2130627091583424,315.91786179921775,391.84876140808336,4.0,dilution,0.0,0.0,simple,3.2891393006601657,3.2891393006601657,315.91786179921775,0.9561299995805446,20190122
722.0,0.22163884882083226,314.28808864265926,393.7576177285318,4.0,dilution,0.0,0.0,simple,3.2998323227151674,3.2998323227151674,314.28808864265926,0.9511974674387342,20190122
577.0,0.3119973172539456,309.9948006932409,368.57712305026,4.0,dilution,0.0,0.0,simple,0.49003024147957663,0.49003024147957663,309.9948006932409,0.9382037690707533,20190122
612.0,0.2765287051301176,313.90849673202615,392.54901960784315,4.0,dilution,0.0,0.0,simple,2.6877817367482226,2.6877817367482226,313.90849673202615,0.9500486270050613,20190122
941.0,0.2094573054475038,319.05526036131766,375.59192348565364,4.0,dilution,0.0,0.0,simple,1.7746396755686757,1.7746396755686757,319.05526036131766,0.9656253819206894,20190122
710.0,0.2108567847332012,315.9507042253521,377.6690140845071,4.0,dilution,0.0,0.0,simple,1.55692869594275,1.55692869594275,315.9507042253521,0.9562293976604989,20190122
899.0,0.17317682644239793,319.7908787541713,365.62847608453836,4.0,dilution,0.0,0.0,simple,0.3717601297488337,0.3717601297488337,319.7908787541713,0.967851741676497,20190122
693.0,0.24639010778620316,320.5021645021645,397.68831168831167,4.0,dilution,0.0,0.0,simple,3.569834552474332,3.569834552474332,320.5021645021645,0.9700044583290381,20190122
580.0,0.2863772742591085,315.8086206896552,381.4913793103448,4.0,dilution,0.0,0.0,simple,1.5994777196570367,1.5994777196570367,315.8086206896552,0.955799379774987,20190122
755.0,0.19008499581584595,316.47682119205297,405.964238410596,4.0,dilution,0.0,0.0,simple,4.812580901902374,4.812580901902374,316.47682119205297,0.9578216983056288,20190122
899.0,0.2192222070039473,320.48943270300333,393.79644048943265,4.0,dilution,0.0,0.0,simple,4.113951696912317,4.113951696912317,320.48943270300333,0.9699659253538614,20190122
571.0,0.2697413111863905,312.78633975481614,376.24168126094565,4.0,dilution,0.0,0.0,simple,1.13168111956699,1.13168111956699,312.78633975481614,0.94665240260661,20190122
599.0,0.3239735960664624,323.5025041736227,399.05843071786313,4.0,dilution,0.0,0.0,simple,3.2068964669440656,3.2068964669440656,323.5025041736227,0.9790850299449478,20190122
