area_pix,aspect_ratio,mean_yfp,mean_mch,position,strain,atc_ngml,xan_mgml,promoter
402.0,0.26417701184153464,109.42786069651741,394.17910447761193,4.0,dilution,0.0,0.0,wt
528.0,0.2852297315645767,108.68371212121212,385.6401515151515,4.0,dilution,0.0,0.0,wt
665.0,0.19737999245557733,111.61654135338345,373.18195488721807,4.0,dilution,0.0,0.0,wt
486.0,0.26285409449718,108.89300411522633,387.28395061728395,4.0,dilution,0.0,0.0,wt
882.0,0.16075903232855096,107.55102040816327,365.4172335600907,4.0,dilution,0.0,0.0,wt
677.0,0.22382167418591115,107.37370753323486,343.74593796159525,4.0,dilution,0.0,0.0,wt
662.0,0.21108920886150137,107.53323262839879,460.1132930513595,4.0,dilution,0.0,0.0,wt
697.0,0.18131342889701843,108.39885222381636,382.91535150645626,4.0,dilution,0.0,0.0,wt
457.0,0.2471130282660747,109.14879649890591,377.1487964989059,4.0,dilution,0.0,0.0,wt
602.0,0.2504355412502782,111.00830564784053,414.1179401993355,4.0,dilution,0.0,0.0,wt
621.0,0.2691310729418485,108.28824476650564,408.47987117552333,4.0,dilution,0.0,0.0,wt
518.0,0.29354241974535544,107.5057915057915,381.1718146718147,4.0,dilution,0.0,0.0,wt
398.0,0.36476363634784387,108.28643216080403,423.9899497487437,4.0,dilution,0.0,0.0,wt
379.0,0.3930029147642777,108.54881266490766,341.4274406332454,4.0,dilution,0.0,0.0,wt
480.0,0.28446758041241166,107.59166666666667,377.86875,3.0,dilution,0.0,0.0,wt
412.0,0.27103436378357587,109.2864077669903,444.9004854368932,3.0,dilution,0.0,0.0,wt
452.0,0.22296893908661788,110.03982300884955,385.28761061946904,3.0,dilution,0.0,0.0,wt
323.0,0.3153675147097258,112.09597523219814,376.6904024767802,3.0,dilution,0.0,0.0,wt
398.0,0.28972236561783776,110.12060301507537,481.2110552763819,3.0,dilution,0.0,0.0,wt
358.0,0.29160736013954053,111.36033519553072,408.6033519553073,3.0,dilution,0.0,0.0,wt
329.0,0.24001699481669364,109.01215805471125,402.58966565349544,3.0,dilution,0.0,0.0,wt
407.0,0.3139971754635772,116.80589680589681,436.8034398034398,3.0,dilution,0.0,0.0,wt
343.0,0.2792575434489292,108.67930029154519,441.27405247813414,3.0,dilution,0.0,0.0,wt
410.0,0.3153171820844645,116.14146341463415,485.7439024390244,3.0,dilution,0.0,0.0,wt
310.0,0.25253961952362886,108.95483870967742,423.9935483870968,3.0,dilution,0.0,0.0,wt
540.0,0.23411052908593225,110.31851851851852,526.4888888888889,3.0,dilution,0.0,0.0,wt
365.0,0.25275565468455913,109.15342465753425,456.3205479452055,3.0,dilution,0.0,0.0,wt
422.0,0.263615985079188,109.94312796208531,471.5805687203791,3.0,dilution,0.0,0.0,wt
677.0,0.13059367693818658,109.20088626292467,361.21861152141804,3.0,dilution,0.0,0.0,wt
483.0,0.18564800042409993,107.90062111801242,371.1262939958592,3.0,dilution,0.0,0.0,wt
434.0,0.25784182785400694,109.74654377880184,393.97926267281105,3.0,dilution,0.0,0.0,wt
287.0,0.3652486247789328,108.17073170731707,391.3623693379791,3.0,dilution,0.0,0.0,wt
302.0,0.41365333396385445,108.82781456953643,390.9701986754967,3.0,dilution,0.0,0.0,wt
490.0,0.23121738001248587,110.29795918367347,391.66326530612247,3.0,dilution,0.0,0.0,wt
549.0,0.25932326445498344,111.27140255009107,423.72859744990893,3.0,dilution,0.0,0.0,wt
554.0,0.23956124906492196,107.25631768953069,394.50722021660647,3.0,dilution,0.0,0.0,wt
457.0,0.31631916351952116,109.32385120350109,475.5448577680525,3.0,dilution,0.0,0.0,wt
671.0,0.22154142113407208,113.35469448584203,493.371087928465,3.0,dilution,0.0,0.0,wt
546.0,0.19427081317881148,113.14835164835165,456.5274725274725,3.0,dilution,0.0,0.0,wt
523.0,0.18621272246462392,107.96940726577438,408.62523900573615,3.0,dilution,0.0,0.0,wt
401.0,0.4160797435206135,111.01246882793018,450.57605985037407,3.0,dilution,0.0,0.0,wt
552.0,0.26046737312544244,109.13586956521739,474.125,3.0,dilution,0.0,0.0,wt
620.0,0.22072290849423495,109.51290322580645,457.61290322580646,3.0,dilution,0.0,0.0,wt
407.0,0.25426010394011456,109.98525798525799,425.8058968058968,3.0,dilution,0.0,0.0,wt
453.0,0.28272148081799814,110.60044150110376,492.7792494481236,3.0,dilution,0.0,0.0,wt
428.0,0.24262691086690896,109.99065420560747,480.64719626168227,3.0,dilution,0.0,0.0,wt
404.0,0.2926223329292648,108.22524752475248,414.41336633663366,3.0,dilution,0.0,0.0,wt
542.0,0.22564065623171112,108.03321033210332,479.70664206642067,3.0,dilution,0.0,0.0,wt
458.0,0.27209201478526557,108.53711790393012,435.3711790393013,3.0,dilution,0.0,0.0,wt
610.0,0.2252112457650062,108.17377049180328,411.7704918032787,3.0,dilution,0.0,0.0,wt
439.0,0.30330776093754663,108.28473804100227,423.15489749430526,3.0,dilution,0.0,0.0,wt
433.0,0.2706128482272346,109.31870669745959,372.07390300230946,3.0,dilution,0.0,0.0,wt
364.0,0.314648094527617,108.35164835164835,426.02197802197804,3.0,dilution,0.0,0.0,wt
397.0,0.28940570761628326,110.85894206549118,436.6649874055416,3.0,dilution,0.0,0.0,wt
564.0,0.22551519430802794,110.08510638297872,443.7074468085106,3.0,dilution,0.0,0.0,wt
384.0,0.2804271317386854,108.5234375,439.9921875,3.0,dilution,0.0,0.0,wt
663.0,0.19675991922646732,107.73755656108597,418.60482654600304,3.0,dilution,0.0,0.0,wt
621.0,0.21270685800325442,115.85829307568439,437.76972624798714,3.0,dilution,0.0,0.0,wt
662.0,0.18373452903199503,108.59818731117825,445.6480362537764,3.0,dilution,0.0,0.0,wt
569.0,0.1632529170859598,108.5360281195079,393.9824253075571,3.0,dilution,0.0,0.0,wt
495.0,0.20616356809406183,107.77777777777777,406.26868686868687,3.0,dilution,0.0,0.0,wt
439.0,0.3385272006634833,110.72209567198178,425.1412300683371,3.0,dilution,0.0,0.0,wt
646.0,0.1575602644542086,108.47213622291022,406.561919504644,3.0,dilution,0.0,0.0,wt
274.0,0.3757547985578675,108.98540145985402,427.45620437956205,3.0,dilution,0.0,0.0,wt
269.0,0.34283166927740216,109.31226765799256,446.85130111524165,3.0,dilution,0.0,0.0,wt
437.0,0.1678808169510319,110.01372997711671,453.5148741418764,3.0,dilution,0.0,0.0,wt
559.0,0.19147801340334283,108.47406082289804,373.4293381037567,3.0,dilution,0.0,0.0,wt
754.0,0.16784238096155008,111.86472148541114,419.90318302387266,3.0,dilution,0.0,0.0,wt
607.0,0.15790711327289403,108.833607907743,406.6342668863262,3.0,dilution,0.0,0.0,wt
510.0,0.28903622819846103,112.01372549019608,420.96862745098036,3.0,dilution,0.0,0.0,wt
326.0,0.38704739849136494,108.87423312883436,431.9355828220859,3.0,dilution,0.0,0.0,wt
