,date,promoter,strain,atc_ngml,xan_mgml,mean_FITC,fold_change
0,20190201,27yfp,dilution,10.0,1.0,11165.536236125228,24.385191861975443
1,20190201,27yfp,dilution,10.0,4.0,23912.39968376588,52.22395430344578
2,20190201,27yfp,dilution,10.0,3.0,19618.121997548064,42.845382323336274
3,20190201,27yfp,dilution,10.0,0.5,531.010183776527,1.1597101060098358
4,20190201,27yfp,dilution,10.0,6.0,30131.334823530528,65.8059196791606
5,20190201,27yfp,dilution,10.0,8.0,30185.63857557323,65.9245174235396
6,20190201,27yfp,auto,10.0,0.0,465.0324313859536,1.0156166995990774
7,20190201,27yfp,dilution,10.0,5.0,29229.37135014073,63.836058860479774
8,20190201,27yfp,dilution,10.0,0.0,482.69594421999705,1.054193274902378
9,20190201,27yfp,dilution,10.0,7.0,29656.941783613554,64.76985969496268
10,20190201,27yfp,dilution,10.0,0.1,485.2479713602879,1.0597668246304792
11,20190201,27yfp,delta,10.0,0.0,457.88182841964766,1.0
12,20190201,27yfp,dilution,10.0,10.0,30938.026631627064,67.56771007578058
13,20190201,27yfp,dilution,10.0,2.0,13852.15434752293,30.252684181271903
