,date,promoter,strain,atc_ngml,xan_mgml,mean_FITC,fold_change
0,20190219,27yfp,auto,10.0,0.0,467.7257051712428,0.9416858058125103
1,20190219,27yfp,dilution,10.0,3.5,34313.16050509835,69.08368696218537
2,20190219,27yfp,dilution,10.0,4.0,39010.17380376641,78.54032084859733
3,20190219,27yfp,dilution,10.0,2.0,23220.652680289793,46.75081738927601
4,20190219,27yfp,dilution,10.0,2.5,24183.670711269893,48.68968968235097
5,20190219,27yfp,dilution,10.0,6.0,38238.39215012198,76.98647033239067
6,20190219,27yfp,delta,10.0,0.5,496.68976879998445,1.0
7,20190219,27yfp,dilution,10.0,3.0,29449.312741701186,59.29116038136139
8,20190219,27yfp,dilution,10.0,8.0,43264.44389364771,87.10556691790883
9,20190219,27yfp,dilution,10.0,20.0,58865.28643156641,118.51519827715899
10,20190219,27yfp,dilution,10.0,5.0,35872.7388684814,72.22363157419345
11,20190219,27yfp,dilution,10.0,10.0,48345.025236346744,97.3344495360748
12,20190219,27yfp,dilution,10.0,1.0,513.5243175745132,1.0338934881127138
13,20190219,27yfp,dilution,10.0,1.5,5772.933466521225,11.622815345016637
14,20190219,27yfp,dilution,10.0,15.0,41024.635026695054,82.59609439069311
