Unnamed: 0,HDR-T,FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,FITC-A,FITC-H,FITC-W,gate
0,256.4097,8822.705,7219.4883,160178.89,5432.6177,4012.6836,177453.33,9809.589,23009.234,55880.277,0
1,261.66348,10153.042,6794.016,195875.23,10969.277,7237.9185,198643.45,-12767.464,7538.725,-221981.44,1
2,478.662,12273.226999999999,7250.677,221865.69,9925.265,7928.7285,164077.3,21320.406000000003,18567.71,150503.66,0
3,541.2713,11421.021,9296.65,161023.17,27973.871,27890.87,131462.06,16077.651000000002,21802.557,96655.17,1
4,589.1937,8420.157,5808.1885,190015.67,22606.432,19456.875,152289.11,24916.25,24390.195,133899.0,1
5,667.0417,23435.807,13967.453000000001,219923.98,5764.6274,3972.137,190220.34,-6239.3330000000005,17334.725,-47177.09,0
6,687.8098,5787.193,5403.7856,140371.77,20511.732,20365.54,132012.89,38133.234,21338.588,234232.9,0
7,769.8026,8800.4795,6252.423000000001,184487.9,16986.018,15182.36,146643.3,32762.27,23191.139,185166.25,1
8,787.7906,8806.343,6776.234,170340.19,11784.266000000001,11853.34,130308.19,1839.0122,26441.459,9116.101,1
9,819.8084,8707.344000000001,8475.283000000001,134660.86,7158.789000000001,6779.7065,138400.8,13058.481000000002,25589.152000000002,66887.766,0
10,837.49695,6848.1753,5759.899,155836.77,19873.207,18345.762,141984.89,24425.117000000002,31677.102000000003,101065.086,1
11,866.9705,6929.179,5900.3306,153927.2,33192.168,30812.436,141195.06,-1172.9434,3751.434,-40981.668,0
12,877.42535,6083.5273,5898.0117,135194.73,27363.074,27134.107000000004,132178.03,36704.49,17092.797,262143.97,0
13,901.9991,14200.417,9353.860999999999,198984.89,150009.53,137427.22,143072.45,-2070.2944,8890.171,-30523.332000000002,0
14,915.7278,13733.355,6589.911999999999,262143.97,1845.5953,1379.4127,175368.73,23330.754,21302.701,143550.27,0
15,964.3072,16351.77,12080.375,177416.61,255197.64,218815.19,152865.38,4749.380999999999,15485.098999999998,40200.637,0
16,975.3064,6111.5019999999995,6081.9033,131709.89,13699.823999999999,12584.177,142692.16,12097.371000000001,25302.367000000002,62667.125,0
17,1072.4181,39984.03,30936.975,169402.05,14753.095,10962.892,176387.55,5407.9937,17138.828,41358.52,0
18,1113.6023,7877.096,6440.241999999999,160314.89,10562.958,9850.65,140549.9,19921.377,23378.271,111690.664,1
19,1195.5243,7011.4355,5974.9434,153809.47,13211.919,12147.335,142559.06,13867.094,11547.774,157397.23,1
20,1252.9707,41727.43,17732.3,262143.97,10207.067,4115.4077,262143.97,-2143.3757,9727.4,-28880.947,0
21,1258.1989999999998,7365.2163,5704.1235,169241.36,7722.1484,6433.479,157326.61,11516.416000000001,44869.816,33641.316,0
22,1309.0504,20861.843999999997,14960.663999999999,182772.88,41129.05,36109.875,149290.66,-1553.9221,23898.577999999998,-8522.502,0
23,1363.2883,13172.643999999998,9037.646,191041.4,15948.76,16391.218999999997,127533.89,9319.155999999999,19987.588,61111.95,1
24,1454.5981,13886.16,10225.55,177994.03,12694.61,13642.878999999999,121961.65,14096.191,30568.432,60441.96,0
25,1562.7435,14961.726,7239.1777,262143.97,4972.4917,2486.804,262085.17,17577.873,42735.41,53912.363,0
26,1592.8015,3949.9695,5534.089,93552.96,7553.7827,7456.063,132789.84,-7838.6157,4999.474,-205506.22,0
27,1684.6865,5809.968000000001,5572.0366,136668.89,4122.7617,3845.7761,140512.23,18164.865,12953.598999999998,183802.61,0
28,1711.4851,13432.291000000001,10170.375,173110.36,6764.7983,5685.0005,155967.56,15595.933,19347.092,105658.78,0
29,1870.7269,8937.378,7579.9580000000005,154544.39,7973.064,8115.3213,128774.375,17063.432,12604.833,177434.97,0
30,2024.8113,29136.744,19636.707,194483.28,262143.97,262143.97,156210.94,-8429.581,10701.726999999999,-103243.34,0
31,2090.5857,6447.543000000001,5881.353,143690.12,22933.979,23750.172000000002,126567.61,11207.714,20267.537,72481.305,0
32,2101.8225,52131.473,39672.434,172234.88,51418.355,49495.905999999995,136162.9,21209.516,17886.22,155425.44,0
33,2183.2383,8401.151,6534.2866,168519.66,73597.96,65844.266,146506.8,13881.9,32191.129,56522.668,0
34,2186.3853,7779.099,6189.1006,164744.8,13111.21,13566.364,126674.51,3227.5027,12234.245,34577.96,1
35,2314.9592,27179.688,14260.101,249822.64,9846.312,7451.853,173188.56,6461.602,6111.9014,138571.47,0
36,2347.761,6767.3755,5616.295999999999,157935.67,23876.392999999996,19255.783,162523.98,16123.428,14376.283000000001,147001.14,0
37,2370.5764,15336.113000000001,13326.636999999999,150835.89,187364.86,158653.6,154791.88,29518.96,31153.656000000003,124194.39,0
38,2464.1167,37885.625,28355.58,175124.08,21906.183999999997,18462.424,155520.61,13678.831,16430.959,109117.9,0
39,2621.502,13911.267,9403.806,193897.83,13221.822,10541.458,164399.53,12404.9375,29229.48,55626.715,0
40,2693.2740000000003,9651.603000000001,7160.395,176673.89,23010.59,17083.326,176549.0,14852.098,13870.323,140349.6,1
41,2774.8547,8708.273000000001,7021.438,162560.83,11402.722,10561.966999999999,141505.61,29569.686,24213.297000000002,160067.33,1
42,2824.1220000000003,13663.027,9786.942,182982.61,170624.2,159340.0,140354.31,-5306.6816,23291.873,-29862.664,0
43,2832.5552,7190.3394,7319.5444,128758.305,32108.667999999998,29559.355,142376.16,4753.358,6043.013000000001,103099.58,0
44,3036.5747,16620.752,15309.378999999999,142299.39,12088.118,10183.551,155585.6,27439.975,24705.936,145576.86,0
45,3039.8337,90181.01,68732.484,171974.06,79482.36,69978.63,148872.75,6013.7793,11189.719,70443.06,0
46,3073.1802,8532.969000000001,7169.713000000001,155994.16,116957.35,106879.45,143431.06,2486.9583,27586.357000000004,11816.368999999999,0
47,3130.1418,44660.168,32730.74,178844.03,262143.97,262143.97,132032.5,23789.195,14813.531,210489.81,0
48,3180.6104,16871.18,12019.466,183979.83,29467.142999999996,26549.472999999998,145476.23,37381.52,33902.574,144522.08,0
49,3286.6108,6492.5044,6102.0806,139458.27,12988.67,13915.903,122338.516,30695.147999999997,37772.367,106513.695,1
50,3397.6162,12239.613000000001,9347.556,171624.61,18195.264,15495.01,153913.39,13674.854,24603.709,72850.414,1
51,3433.8987,10581.649,9443.88,146863.16,179968.34,154002.55,153171.56,13515.571000000002,21659.093999999997,81790.73,0
52,3440.4082,5986.71,5398.821999999999,145344.69,138726.84,121396.21,149783.95,14345.021,28857.428,65155.863,0
53,3498.2124,6973.472,5646.629,161871.27,14580.828000000001,13760.931999999999,138881.47,8661.473,19417.496,58466.68,1
54,3563.656,14649.453000000001,7544.255,254515.94,9191.1045,6526.8296,184576.05,7922.6167,21708.031000000003,47836.36,0
55,3621.1155,7107.766,6470.6646,143977.34,21272.237999999998,22631.682,123198.75,21184.18,21343.882999999998,130091.266,1
56,3656.4524,21916.756,16225.362,177048.31,253310.7,229564.67,144630.02,26317.305,32296.9,106804.734,0
57,3693.047,4993.7285,5513.4478,118716.64,15411.216999999999,15850.225,127441.664,17458.629,15825.253,144600.38,0
58,3882.2468,7397.3125,7207.568,134522.56,12149.559,13558.465,117451.86,28988.94,26866.305,141427.64,1
59,3970.7329999999997,9140.202,5772.509,207539.67,6543.4169999999995,4766.0645,179951.14,5998.8240000000005,17662.748,44516.168,0
60,4128.149,14192.149,12173.8,152803.02,51074.51,50479.082,132618.06,18280.0,26686.682,89782.47,0
61,4147.939,8766.306,5744.64,200015.53,4148.3679999999995,3007.5642,180789.12,30147.088,14006.46,262143.97,0
62,4205.0205,11432.321000000002,7778.111999999999,192650.52,12031.038,12433.846000000001,126825.78,20212.03,23977.842,110486.64,1
63,4223.1973,10995.618,8967.27,160719.78,18513.21,16585.729,146304.31,30799.691000000003,26775.004,150774.1,1
64,4391.3096,15874.883999999998,12226.364,170185.73,60952.832,52490.957,152201.64,731.80005,7438.4497,12894.958,0
65,4457.0986,10349.567,5827.7466,232772.39,9217.257,8638.748,139849.47,10263.469000000001,14593.025,92184.68,1
66,4471.0635,11807.34,10144.3545,152558.9,19910.871,19048.656000000003,137004.81,22980.545,29424.246,102368.164,1
67,4513.0586,8026.7334,6854.0464,153497.64,14428.403999999999,14548.999,129985.56,22966.227000000003,21717.254,138610.03,1
68,4558.878,7597.07,5517.911999999999,180460.12,15043.386999999999,14203.287,138824.69,29873.86,27554.984,142102.3,1
69,4615.5547,6152.713000000001,5557.732,145103.86,29314.867000000002,16986.496,226200.75,17884.518,23329.98,100478.414,0
70,4797.2744,4327.4243,5415.786,104731.64,15330.743,14983.612,134108.6,6761.8203,18498.36,47911.562000000005,0
71,4820.545,25677.484,9196.731,262143.97,6685.624,3566.9524,245671.38,15811.598,19124.242,108368.09,0
72,4820.565,23311.816000000003,7587.889,262143.97,8378.280999999999,3574.4285,262143.97,15490.661,9515.454,213378.36,0
73,4864.5493,19633.718999999997,9196.63,262143.97,5021.879,2216.0515,262143.97,6313.236999999999,14917.726,55470.155999999995,0
74,4902.476,21642.327999999998,6892.976,262143.97,1542.2616,1272.5021,158858.14,17411.832,34567.12,66022.38,0
75,5010.322,10805.308,8658.386999999999,163572.42,5714.418000000001,4654.383,160923.64,39999.848,37253.5,140734.7,0
76,5063.1606,8542.323,7840.6006,142802.77,20300.373,21172.705,125671.734,7569.245,14397.5,68908.914,1
77,5114.2334,10403.754,9618.349,141774.94,9594.366,9571.457,131385.72,30160.754,21322.705,185400.03,1
78,5127.4214,13526.921999999999,8483.518,208993.58,23491.088,20315.713,151558.73,28743.34,33349.418,112968.9,1
79,5237.6577,16050.446000000002,13385.71,157164.92,204906.77,185354.72,144898.06,1138.1531,20752.718999999997,7188.4556,0
80,5269.8696,7744.130999999999,5495.451,184705.25,85854.97,75532.02,148985.58,15147.688,25266.959,78578.42,0
81,5468.668000000001,11530.6455,9048.645,167024.44,6335.5405,4424.0366,187704.6,538.3544,10161.484,6944.1807,0
82,5558.713000000001,179494.62,76008.87,262143.97,12027.808,6890.061,228809.12,21131.127,26661.266,103884.76,0
83,5605.4556,12534.456,8234.381,199519.1,3466.4392,2392.645,189895.75,-5310.9490000000005,15613.061000000002,-44585.54,0
84,5656.0747,13221.438999999998,8689.179,199438.94,195008.61,168789.31,151432.39,19808.352,16380.665,158499.08,0
85,5670.464,10889.358999999999,7628.4565,187100.77,23597.652000000002,23746.912,130248.16,-2125.9968,15196.803999999998,-18336.662,1
86,5671.2207,9633.962,8601.935,146797.52,2847.3872,3101.9822,120314.27,6758.8184,23816.139,37197.12,0
87,5689.475,14791.7,10246.655,189210.78,19934.38,18695.61,139756.83,10401.565999999999,29429.68,46325.824,1
88,5749.9487,7700.1714,5806.6865,173812.88,18782.916,15130.738000000001,162709.47,18837.584,30661.975,80525.79,1
89,5815.732,7135.72,6143.4697,152241.84,120607.586,99797.81,158403.05,6694.88,35042.008,25041.695,0
90,5831.3574,12567.116000000002,8431.712,195357.38,151871.73,132025.06,150775.4,62.846644999999995,13682.5205,602.0408,0
91,5891.93,27229.568,21206.277000000002,168300.83,9261.8545,8652.912,140296.1,26752.992000000002,24408.19,143663.6,0
92,5912.445,9717.814,5983.06,212889.95,129577.3,112917.25,150410.64,35261.117,17592.871,262143.97,0
93,5949.6,8897.175,6600.7466,176672.52,3734.6304,2826.8186,173164.8,2401.719,15992.024,19684.693,0
94,5961.9473,9107.177,8014.0815,148949.8,19082.727,18810.668,132967.69,16901.504,25655.715,86347.77,1
95,6019.8330000000005,10240.725,8263.423,162435.39,138757.5,119816.28,151792.58,40845.062000000005,25600.748,209120.61,0
96,6088.7124,12408.021999999999,8439.914,192696.78,6056.17,5496.8013,144410.22,8100.6094,23147.291,45869.863,0
97,6132.901999999999,4278.7246,6504.595,86219.2,4721.975,4892.5054,126503.43,-4142.8423,11058.171,-49104.92,0
98,6258.9824,6438.7925,5646.2656,149469.66,9746.585,7887.1787,161972.28,19756.61,16031.688999999998,161526.23,0
99,6283.928000000001,9532.255,6103.299,204710.89,21912.795,20563.66,139671.33,-2694.53,11819.919,-29879.854,1
100,6293.7880000000005,5506.071999999999,5456.5166,132262.38,17513.916,17344.988,132348.55,18656.168,22297.342,109667.836,0
101,6387.8306,8722.373,6469.895,176704.39,12174.659,10775.311000000002,148093.83,6124.935,21679.525,37030.676,1
102,6454.9097,3822.167,6020.185,83216.555,9450.508,7345.0435,168643.92,4562.2153,16610.057,36001.004,0
103,6506.4165,55507.1,34229.855,212546.23,12354.506000000001,9093.199,178081.42,-2514.9536,12364.39,-26660.433999999997,0
104,6537.7919999999995,19695.46,15367.958,167980.9,14660.688,12959.524,148277.48,45704.395,42131.965,142185.78,0
105,6554.1465,15309.507,9952.164,201629.28,9566.989,7287.1294,172079.34,-6926.656,9768.37,-92941.875,0
106,6663.6875,68527.79,31708.291,262143.97,48644.187999999995,26245.02,242937.17,7671.04,17337.168,57994.395,0
107,6767.953,9870.825,7097.8867,182278.03,21853.73,19896.215,143967.69,36494.68,23888.959,200236.05,1
108,6833.2919999999995,18639.791,11768.085,207608.52,5942.7314,3607.5332,215916.44,6282.82,7258.0419999999995,113460.59,0
109,6941.0356,31312.77,18598.15,220679.33,8730.806999999999,5838.0063,196019.7,26040.336,19920.814,171336.31,0
110,6944.4893,23034.174,17865.762,168990.02,262143.97,262143.97,149825.69,26656.824,25031.56,139582.31,0
111,6977.876,18673.613,15645.815,156437.22,26465.629,27407.152000000002,126569.26,31941.487999999998,25213.057,166050.27,0
112,7008.880999999999,7516.0776,6222.5137,158319.83,11309.423,11635.868999999999,127394.75,24267.277000000002,36813.035,86403.11,1
113,7037.02,27841.347999999998,18885.244,193231.34,7419.571,5844.156,166405.22,3005.3613,15896.383,24780.4,0
114,7071.145,11997.226999999999,9260.128,169814.12,16793.516,18514.08,118891.12,13323.563,31718.164,55058.234000000004,1
115,7180.7007,8862.075,6435.9604,180481.2,17172.066000000003,17296.25,130130.93,17443.635,44596.01,51268.53,1
116,7263.0186,10077.936,8209.13,160910.5,20922.604,20451.441000000003,134091.64,5168.02,17871.898,37902.113,1
117,7280.6504,17569.268,12807.738000000001,179800.6,16999.723,18314.457,121662.77,-290.5287,12040.131000000001,-3162.7709999999997,0
