Unnamed: 0,HDR-T,FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,FITC-A,FITC-H,FITC-W,gate
0,12.119538,5948.1436,6015.0684,129613.664,13804.441,13339.652,135638.89,-185.55035,234.60962999999998,-103663.5,0
1,12.692159,5374.9375,6137.5,114786.77,15534.491000000002,15551.563999999995,130928.1,558.75726,497.5321,147201.42,0
2,18.123863,9527.176,6944.6255,179814.73,16655.443,13274.471000000001,164455.69,-68.52863,394.92007,-22744.31,1
3,22.1831,9758.405999999999,5933.3027,215571.98,19712.037,12262.095,210705.94,86.506134,428.72405999999995,26447.15600000001,1
4,23.04112000000001,11340.818000000001,10800.063999999997,137634.7,28097.742000000002,31215.064,117982.37,118.47443,236.07043,65779.86,1
5,25.656992000000002,10405.375,10270.902,132788.08,14891.948,13420.048,145447.88,229.29527000000002,377.6137,79589.77,0
6,32.986523,8514.87,7533.874,148139.06,23061.965,24454.40600000001,123608.72,1073.6779,862.8086,163105.83,1
7,34.42807,10193.817,9441.581,141514.86,28025.42,26017.433999999997,141187.94,429.51257000000004,388.0942,145060.33,1
8,38.34915,17122.117,14605.683,153654.6,34209.473,30532.088,146858.73,339.0876,526.2875,84449.83,0
9,65.05866999999999,8730.424,8243.886999999999,138807.6,10808.521,11913.366000000002,118916.39,261.4772,430.54984,79601.33,0
10,68.80343,8254.485999999999,5683.964,190348.16,15388.058,12695.53,158870.36,786.4496,788.2705,130769.22,1
11,71.266594,9793.7,7450.594,172292.28,27963.795,26392.371,138876.14,274.3934,612.8995,58680.574,1
12,78.28891,7379.5806,6470.5390000000025,149486.22,13721.482,13672.13,131545.14,442.48004000000003,577.1519,100487.83,1
13,102.85338,11003.84,9554.761999999999,150950.42,19824.162,20020.637,129785.71,383.02805,554.3233,90568.54,1
14,116.3763,11261.978000000001,8385.831,176026.67,23257.95,23118.468999999997,131862.8,236.4083,466.66357,66400.1,1
15,117.330666,8040.0967,7404.4116,142324.81,22239.36,21258.362999999998,137120.5,330.53528,387.337,111850.71,1
16,118.73767,10158.354,8747.86,152205.88,28092.147999999997,26958.666,136582.95,66.54021999999999,457.88547,19047.47,1
17,150.71347,8164.6494,7849.3906,136336.31,20981.799,20488.352,134228.78,932.7261,793.5651,154057.02,1
18,165.0835,12841.478000000001,6690.518,251573.66,28709.94100000001,16943.04,222101.2,198.07846,297.51935,87263.37,0
19,193.98533999999998,6847.5109999999995,5609.4569999999985,160000.69,18135.283,17972.23,132261.14,520.00323,471.0427,144695.72,1
20,198.48085,7037.516,6596.7495,139829.67,14259.364,14265.999,131011.04,542.303,440.4807,161370.83,1
21,213.1908,18833.768,6183.9404,262143.97,2146.1875,1160.3639,242428.34,552.5378400000002,383.16864,189008.78,0
22,213.20535,15275.075,5566.3496,262143.97,1314.9685,1002.3354,171953.97,194.17703,284.25977,89534.91,0
23,261.47626,6985.1216,6642.153,137839.92,11137.851999999999,10985.921999999999,132884.66,190.74225,475.7129,52554.742,0
24,264.4121,9313.086,9543.995,127900.82,35354.6,35087.062000000005,132071.42,356.39412999999996,717.8191,65076.69,0
25,266.3281,7013.2373,6213.653,147938.6,11296.615,9573.34,154665.97,446.89905,738.0419999999997,79366.695,0
26,284.1284,8372.735,7980.9995,137505.48,26332.814,25291.062,136470.92,187.57317,251.4258,97784.68,1
27,300.27625,8233.38,5754.811,187524.06,21932.283,20461.227,140495.4,275.6184,438.7835,82331.84,1
28,301.89232999999996,13367.91,9119.761999999999,192127.69,20107.25,20085.895,131211.36,449.31497,604.2262599999998,97467.81,0
