Unnamed: 0,HDR-T,FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,FITC-A,FITC-H,FITC-W,gate
0,14.425432,4919.2812,5591.0684,115323.23,20985.862999999998,20371.652,135023.86,21559.237999999998,17354.61,162827.78,0
1,34.038208000000004,13566.48,10833.5,164137.7,7140.5493,6535.564,143205.1,57935.164000000004,53393.53,142220.94,0
2,34.642826,9515.931999999999,6624.6255,188278.14,32637.479,27386.47,156203.39,25656.777000000002,22098.92,152174.19,0
3,48.20582,17858.121,13077.303,178989.48,28522.022999999997,24118.096,155005.55,83979.08,73812.73,149124.77,0
4,50.992855,27626.452999999998,21000.064,172430.64,41321.152,35399.066,152999.69,97050.8,85460.07,148848.95,0
5,51.864371999999996,6820.2866,5614.903,159209.98,18493.902,20612.049,117602.71,16558.033,15097.613000000001,143750.83,1
6,52.03686,4848.26,5681.874,111841.81,18324.326,18574.406000000006,129307.29,40162.95,34398.81,153035.48,0
7,54.01956,6517.8364,5469.581,156192.19,5977.0317,4641.433,168788.7,29929.188,27964.093999999997,140282.7,0
8,69.19668,10273.341999999999,7329.682,183711.58,20813.648,19740.088,138200.33,39298.11,37082.29,138904.1,1
9,94.36175,23283.484,17855.887,170913.55,21704.342,19905.365,142917.83,42511.36,38482.55,144794.17,0
10,95.32042,7676.336999999998,6535.964,153941.0,27803.746,24319.53,149850.45,38146.895,32320.271,154701.36,1
11,95.91051,6745.5317,6238.594,141722.69,17645.188000000002,17144.371,134900.84,36456.05,35704.9,133829.47,1
12,108.77447,4401.6895,5654.5390000000025,102030.99,19936.822,18412.13,141925.95,54002.35,46229.152,153111.1,0
13,121.6112,12549.944,11378.761999999999,144562.86,10814.59,10840.636999999999,130757.07,38249.473,30534.324,164190.14,0
14,138.37521,5945.2519999999995,6401.8315,121723.92,9539.786,8878.469000000001,140834.97,35638.453,32158.664,145254.89,0
15,143.12317,5433.2705,5564.4116,127982.914,2957.0933,3290.363,117796.16,39271.754,34179.336,150600.56,0
16,147.50072,20229.584,18435.86,143824.7,33347.03,32054.666,136356.5,95998.11,79065.88,159141.52,0
17,199.6792,18414.854,13141.391000000001,183669.42,31647.11,31608.35200000001,131232.72,63389.727,49497.566,167859.12,0
18,206.65135,11651.445,9266.518,164806.06,29364.928,28579.04,134676.31,37616.62,34533.52,142773.92,1
19,209.7979,15248.95,9489.457,210624.31,17786.707,13244.23,176026.78,61872.242,47219.043,171746.78,0
20,254.49402999999998,5892.4614,6484.7495,119100.47,14706.329,14101.999,136688.98,32320.842,29184.48,145157.88,0
21,258.5593,5685.32,5407.9404,137794.83,16284.143,16464.363,129637.27,27284.217,21983.167999999998,162678.88,0
22,260.46393,15680.811000000005,7418.3496,262143.97,40201.84,28162.336,187105.77,91596.13,43844.258,262143.97,0
23,260.47662,15247.878999999999,8722.153,229137.22,42354.17,28185.922000000002,196958.11,97107.13,43831.715,262143.97,0
24,262.03085,11522.61,8975.995,168258.95,32532.257999999998,30487.062,139864.84,41852.902,35833.82,153088.44,0
25,263.28726,8343.824,7165.653,152622.77,54088.105,49481.34,143274.94,17603.037,15142.042,152374.78,0
26,263.4543,12892.045,10712.999,157732.31,35434.22,35391.062000000005,131231.83,48022.17,46911.426,134175.45,0
27,266.6626,7917.6,7638.811,135855.66,19034.977,18901.227,131999.5,42579.85,39618.785,140868.19,1
28,267.00214,3323.8528,5587.7609999999995,77967.55,14145.847,13909.895,133295.36,26096.847999999998,25592.22700000001,133656.44,0
29,289.4909,7370.0776,5804.384,166427.8,16318.086000000001,14982.124,142759.73,4426.414000000002,3750.5537,154691.55,1
30,296.09265,9460.421,7515.7617,164986.11,21770.18,22400.365,127384.58,27201.03100000001,26691.994,133571.64,1
31,303.18462999999997,7901.0757,7370.589,140505.7,14920.149,14633.655,133638.1,25920.766,22178.746,153186.6,1
32,342.4465,11614.541000000001,8814.768,172703.48,24406.842,19856.459,161108.97,48742.152,41809.68,152805.08,1
33,357.7725,6312.047,6723.2207,123055.99,17785.926,17262.477,135046.48,47644.977,42177.655999999995,148062.34,1
34,358.75296000000014,10004.882,7956.596,164814.17,33095.11,30694.612999999998,141322.6,20456.709,18635.82,143878.92,0
35,372.0799,7659.6553,7078.4062,141835.08,27426.092,24932.222999999998,144182.6,52655.215,47909.418,144055.69,1
36,404.61475,10116.110999999999,7991.46,165919.48,7172.325,6219.5283,151151.5,39823.867,36860.43,141609.69,0
37,445.56155,7968.7812,5395.404,193587.75,30026.78100000001,27876.129,141184.25,37404.69,30773.027000000002,159318.34,0
38,450.4366,8124.4985,5606.8228,189928.3,27635.72,23603.137000000002,153465.58,32156.172000000002,27176.257999999998,155090.3,1
39,459.16265999999996,9022.903,7782.599,151960.8,29195.088,23858.627,160388.89,28342.033,24917.767999999996,149084.27,1
40,461.22525,8770.098,6572.7609999999995,174890.61,23752.68,23271.83,133780.25,25821.02,23715.916,142706.39,1
41,481.81305,12223.428999999998,7036.967,227676.11,27409.986,15071.148000000001,238381.42,35137.234,17601.48,261654.56,0
42,482.71182000000016,4853.762,5760.9614,110431.625,23189.33,22191.44,136965.97,57132.934,50108.055,149447.6,0
43,489.44608,7516.2890000000025,7277.172,135378.83,31667.492000000002,23999.79,172948.25,40223.28,29841.658,176670.67,0
44,492.23675999999995,8796.166,8277.48,139285.27,25658.647999999997,23931.104,140533.86,38087.836,32690.506,152712.5,1
45,497.75458,5002.7256,5639.4424,116273.42,14311.536,13421.428999999998,139764.67,38723.535,33707.3,150577.8,0
46,506.7875,22472.06600000001,17387.453,169401.39,20207.578,19111.068,138592.34,44189.187999999995,40232.344,143962.9,0
47,507.73526,17851.861,13158.78,177818.84,33831.11,30050.382999999998,147562.55,63750.55,55055.887,151771.45,0
48,514.849,8923.574,8216.866,142345.11,11747.796,10992.27,140080.9,26045.54,24959.826,136773.42,0
49,538.7885,7483.2980000000025,6541.3335,149946.61,19001.182,17746.836,140336.17,49781.805,46113.3,141499.31,1
50,543.6636,6449.9272,5641.9307,149843.19,8504.421,7824.116,142468.67,22496.377,18324.498,160912.73,0
51,545.1469,4214.264,5512.9253,100195.81,9270.413,7954.9346,152746.9,19475.535,17108.295,149208.17,0
52,545.5264,195865.17,152361.77,168496.61,262143.97,262143.97,195243.06,262143.97,262143.97,158673.06,0
