Unnamed: 0,HDR-T,FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,FITC-A,FITC-H,FITC-W,gate
0,43.374725,9115.996,8311.488000000001,143759.08,90212.555,85392.69,138470.17,7187.7705,20625.234,45677.805,0
1,235.12403999999998,9574.893,6486.016,193493.25,21703.928,21349.917999999998,133245.34,22591.479,17366.725,170504.83,1
2,313.72586,54963.515999999996,21966.678,262143.97,5516.5244,2404.7285,262143.97,8649.846,12831.71,88355.53,0
3,420.84802,103982.086,59300.652,229831.2,60196.562000000005,38594.87,204433.48,20455.47,22490.557,119211.79,0
4,534.7732,47625.62,33848.187999999995,184423.03,23638.105,20148.875,153770.06,31722.86,53638.195,77518.984,0
5,551.7808,9197.59,6947.453,173523.52,22037.142999999996,20220.137,142850.28,23714.803,24786.725,125403.69,1
6,618.3029,8033.2609999999995,5383.7856,195575.33,18646.1,18713.54,130599.65,-3414.8096,15658.588,-28584.055,1
7,996.72284,12100.71,6988.423000000001,226955.97,14842.087,15566.36,124973.47,25440.292999999998,22039.139,151299.47,1
8,1235.2521,6711.137,5904.234,148984.98,17912.46,16093.34,145887.81,24087.926,16265.458999999999,194107.81,1
9,1248.2985,121162.555,93683.28,169518.17,262143.97,262143.97,135305.78,25894.897999999997,19817.152,171270.62,0
10,2077.5732,11562.389,11499.899,131784.23,13991.451000000001,13389.761999999999,136961.92,-17866.933999999997,4845.102,-483344.78,1
11,2235.7253,31016.55,21916.33,185496.45,262143.97,262143.97,161004.08,5527.7803,15291.435,47381.9,0
12,2330.3062,11895.943000000001,6382.0117,244315.61,2186.8704,1318.1074,217461.39,17881.37,24228.797000000002,96733.93,0
13,2461.7148,15894.572,11529.861,180690.23,180522.14,156831.22,150871.73,7220.388000000001,26446.17,35785.55,0
14,2548.1265,11915.511999999999,11213.912,139272.53,27562.467,24727.412,146099.7,33243.63,33514.7,130011.875,1
15,2557.657,8662.476999999999,6576.375,172649.55,125058.75,116583.19,140600.89,10343.469000000001,27133.097999999998,49966.25,0
16,2889.9312,9813.72,6781.9033,189667.1,110759.586,103216.18,140651.2,3883.3394,8814.368,57746.29,0
17,3193.4343,8080.8667,5996.9746,176618.28,18824.504,18190.893,135637.4,16836.986,12238.827,180316.1,1
18,3349.1333,6861.3525,6024.241999999999,149285.36,81029.72,69578.65,152643.48,16209.788999999999,22742.271,93422.92,0
19,3428.0933,5804.536999999999,5502.9434,138255.52,125718.664,122175.336,134873.34,8049.055,8679.774,121547.6,0
20,3885.093,13182.593,10400.301,166136.42,42177.7,36239.406,152549.83,14621.083,30267.4,63316.13,1
21,4039.9854,16213.62,12708.124,167227.8,12521.632,9889.479,165957.72,44832.625,36193.816,162356.52,0
22,4077.802,8115.383000000001,8164.664000000001,130280.86,174443.56,152065.88,150360.28,10929.232,14634.579,97885.73,0
23,4206.8613,17595.44,5485.6465,262143.97,9678.135,4311.2188,262143.97,3606.0654,26375.588,17920.139,0
24,4206.876,19502.736,6841.55,262143.97,10710.912,4310.879,262143.97,11953.196000000002,26388.432,59371.824,0
25,4374.8784,28054.889,11363.178,262143.97,5309.8237,2438.804,262143.97,25631.672000000002,18203.41,184558.52,0
