Unnamed: 0,HDR-T,FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,FITC-A,FITC-H,FITC-W,gate
0,1.1091229,5206.0137,5703.0684,119648.336,4450.0405,3895.6523,149724.78,29998.158,27786.61,141504.08,0
1,32.707325,9808.041,7677.5,167445.08,11868.818000000001,10983.563999999997,141636.14,15796.788999999999,12609.532,164202.5,0
2,32.80898,13518.0,11636.625,152263.33,29742.047000000002,26538.47,146894.28,37650.8,31522.92,156551.67,0
3,42.549656,9487.6045,9377.303,132613.75,30382.97,31294.096,127255.85,53101.96,49260.723,141292.69,1
4,47.35646,8440.701,6148.064,179949.27,20196.68,19231.064,137653.28,22504.193,19900.07,148224.08,1
5,66.61454,10229.213,7518.903,178319.02,26248.79,25372.049,135601.23,25162.808999999997,21029.612999999998,156833.11,1
6,67.51309,4606.5054,5689.874,106115.51,5661.2609999999995,5238.406,141652.42,14311.143999999998,11954.809,156906.75,0
7,77.809235,8680.509,6749.581,168569.22,3446.1055,3421.433,132017.17,20100.648,19032.093999999997,138431.02,0
8,78.4954,8907.146999999999,6617.682,176417.9,4124.1523,3888.0874,139030.03,20934.137,20666.287,132770.78,0
9,79.22151,8399.651,6431.8867,171172.03,21570.346,18765.365,150664.17,28660.139,25402.55,147880.48,1
10,87.453705,9687.21,9175.964,138374.78,22004.447,20707.53,139281.08,8278.029,8256.2705,131417.44,1
11,110.22067,12609.483999999999,7758.594,213021.88,35284.832,33980.37,136103.67,34685.06,34512.9,131725.83,0
12,128.00839,6696.4834,5650.5390000000025,155334.11,3632.448,3596.1301,132395.72,23563.771,21877.152000000002,141177.0,0
13,139.35193999999998,6040.376,5358.7617,147743.86,19038.93,17036.637,146476.72,31333.23,26522.324,154847.27,1
14,151.71022,13575.513,10637.831,167268.08,31898.332000000002,30714.468999999997,136124.06,13947.076000000001,11090.663999999999,164829.73,0
15,163.60197,13166.6045,10624.412,162434.7,40676.42,41626.363,128080.85,48076.117,42595.335999999996,147937.16,0
16,165.91461,9985.002,10495.86,124692.414,34439.61,33606.664,134320.64,46370.965,40889.887,148641.53,0
17,179.54176,11656.972,9229.391,165547.5,39101.207,37996.35,134883.3,18599.547,17553.564,138882.33,0
18,203.72644,8522.692,8478.518,131754.9,12347.47,11223.038999999999,144204.03,38502.117,34113.52,147934.0,0
19,210.1325,7442.5273,5917.4569999999985,164852.39,15926.696000000002,13832.23,150918.83,14899.713,11903.043,164070.25,1
20,213.94997999999998,5185.9385,5492.7495,123750.65,9918.091,8653.999,150217.72,19854.555,15424.48,168717.27,0
21,215.62366,6048.8887,6143.9404,129044.21,31842.639,31800.362999999998,131246.25,8502.326,6479.1685,171999.98,0
22,240.16232000000002,11774.319,10262.35,150383.06,30762.17,30154.336,133714.08,13856.118999999999,13804.26,131564.4,0
23,241.767,7713.196,5502.153,183743.34,30611.271,20225.922,198373.19,40197.367,29799.713,176805.38,0
24,247.64844,9310.275,6027.995,202441.5,19452.215,15715.063,162241.83,32641.867000000002,28225.818,151578.77,1
25,283.42535,5780.1016,6253.653,121146.71,26131.722999999998,22821.34,150084.84,20922.008,17646.041,155405.36,0
26,287.5406,9980.684000000001,8076.9995,161964.62,17326.053,14451.0625,157148.33,20780.748,18967.426,143602.73,1
27,289.0472,9011.118,8546.811,138192.52,8721.055,6633.226,172327.33,26892.042999999998,23466.783,150203.53,0
28,295.59305,5744.209,6687.7609999999995,112579.52,18873.178,18161.895,136205.23,30411.885,29092.22700000001,137017.58,0
29,318.24203,6392.7524,5768.384,145259.2,16399.607,15706.124,136859.31,22815.688,20618.555,145039.16,1
30,319.18234,5707.603,6015.7617,124357.805,15350.567,15180.366000000002,132541.56,27882.254,24991.994,146230.14,0
31,320.7035,8633.836,8578.589,131916.12,7645.9624,7629.6553,131352.14,62509.09400000001,54150.746,151303.4,0
32,327.61602999999997,12103.671999999999,6862.7676,231168.03,33930.848,18320.459,242755.06,41096.9,24373.68,221002.84,0
33,330.9397600000001,7891.885,6827.2207,151511.89,30385.271,29230.47700000001,136250.2,29841.35,26617.658,146946.27,0
34,351.9804,5479.0117,5460.596,131514.03,9796.721,9790.613000000001,131153.77,31006.766,28511.82,142541.55,0
35,356.22995,8122.55,7814.4062,136240.53,25373.05,23488.222999999998,141589.95,40633.082,36589.418,145557.36,1
36,381.35675,5405.646,5563.46,127353.99,16620.43,13999.528,155610.45,24700.154,23996.43,134915.84,0
37,390.9159,5039.6157,5451.404,121171.086,11957.973,12296.128999999999,127467.38,25373.186,21277.027000000002,156305.39,0
38,396.1184,6290.725,5666.8228,145502.69,23243.847999999998,21399.137000000002,142371.05,24255.11,22464.257999999998,141521.06,0
39,398.80865,8062.444,7218.599,146394.14,23716.256,21006.627,147978.88,28114.334,26561.767999999996,138733.31,1
40,404.3851,6728.3027,5664.7609999999995,155680.36,19210.88,18651.83,135000.62,23080.197,21423.916,141205.17,1
41,476.70502,5937.811,5988.967,129952.43,13624.356000000002,12807.148000000001,139435.55,28311.882999999998,25393.48,146135.73,0
42,476.774,5790.7954,6392.9614,118726.06,20946.072,18735.44,146537.45,16834.89,14892.055,148171.81,0
43,488.7075,8732.559000000001,5957.172,192137.12,23566.84,23267.79,132756.61,32713.897999999997,31409.658,136514.58,1
44,508.77698,6856.5080000000025,6245.4805,143895.44,33247.68,31807.104,137008.39,28104.683999999997,24330.506,151404.05,0
45,538.0480299999998,7579.5664,7159.4424,138763.45,13679.976999999999,14069.428999999998,127443.83,28593.27,26743.303,140138.9,0
46,543.4684,10454.616,8047.4519999999975,170278.42,22927.785,21107.068,142378.4,23643.8,21560.343999999997,143737.98,1
47,549.23364,12178.126,8298.78,192342.89,38830.18,18806.383,262143.97,29370.808999999997,16679.889,230798.34,0
48,562.4741,14443.636,10884.866000000002,173925.55,21090.952999999998,21836.27,126598.24,18144.477,19623.826,121191.086,0
49,574.94135,10061.075,8097.3335,162859.2,30490.145,30230.836,132196.28,23986.22,22053.299,142560.17,1
50,575.07025,5112.7812,5821.9307,115106.57,22217.9,21356.117000000002,136361.14,23215.082000000002,21528.498,141340.44,0
51,585.9872,9789.61,8920.926,143835.28,9142.04,8182.9346,146434.69,36691.645,34032.297,141314.22,0
52,591.5256,7907.578,7537.7676,137502.53,55298.695,54173.004,133795.62,23018.533,21770.803,138584.02,0
53,592.3497,8157.4653,7846.2266,136271.28,7964.1416,7256.816999999999,143847.64,23426.996,23322.65600000001,131658.39,0
