Unnamed: 0,HDR-T,FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,FITC-A,FITC-H,FITC-W,gate
0,45.97703,15178.601,13431.488000000001,148121.3,29466.577999999998,27744.683999999997,139206.61,908.712,813.2353,146460.31,0
1,82.83129,23020.38,19498.016,154750.48,29636.85,26717.917999999998,145391.61,910.4075,630.7249,189193.3,0
2,88.53846999999999,11516.104,9274.677,162748.39,38290.19,36676.73,136838.05,29.141567,143.7101,26578.81,0
3,98.87785,10092.309000000001,10232.65,129274.336,15456.983,14146.868999999999,143210.33,400.1512,270.55585,193855.06,1
4,176.0746,17049.295,13196.188,169343.23,23476.936,20332.875,151339.6,137.34866,478.1958,37646.848,0
5,188.7328,8664.418,8047.453,141120.75,3641.3103,3148.137,151605.17,300.2206,770.7245,51056.527,0
6,197.30536999999998,7604.1,7343.7856,135718.1,24800.533,22049.54,147425.1,-238.2674,186.588,-167375.1,0
7,205.00635,5259.4316,6128.423000000001,112486.4,11798.604,13070.36,118318.586,232.23012999999997,655.13776,46461.78,0
8,222.45657000000003,20876.266,16860.234,162292.75,43273.26,37953.34,149444.38,438.14777000000004,693.4589,82815.15,0
9,232.59437999999997,9702.473,7123.283,178530.39,10294.101999999999,11859.707,113769.125,393.54303,549.1529,93930.984,0
10,267.63824,6929.6973,6475.899,140256.86,16780.998,19313.762,113883.51,-349.09997999999996,145.10216,-315344.94,1
11,268.5952,9555.683,5768.3306,217130.83,12219.495,11724.435,136606.47,66.751396,355.43414,24615.64,0
12,272.78253,9779.186,6762.0117,189555.62,1440.9921,1502.1074,125739.15,-121.84747,192.79646,-82837.58,0
13,292.2574,12928.863000000001,10693.861,158465.86,25372.885,25995.222999999998,127934.08,-47.240055,478.17055999999997,-12949.037,1
14,317.1453,10677.69,9385.912,149111.38,25560.965,21551.412,155457.4,315.34854,366.70096,112716.81,1
15,320.97488,18967.03,14388.375,172781.6,36782.74,30879.19,156130.62,363.1293,553.0986,86053.53,0
16,334.81522,8222.636999999999,7693.9033,140079.4,19163.664,17556.178,143073.27,179.24767,266.36807000000005,88202.58,1
17,377.83243,12239.42,7500.9746,213871.58,27762.861,25234.892999999996,144202.47,265.5563,290.8273,119682.695,1
18,446.30588,12098.431,7812.241999999999,202984.69,25521.754,24610.65,135924.38,336.44872999999995,422.2719,104432.73,1
19,452.82108,9191.911,8826.943000000001,136491.44,17371.408,16759.334,135858.94,252.00298999999998,411.7746,80215.086,1
20,456.2403,12111.563999999998,10580.301000000001,150041.77,24345.959,20207.408,157916.02,321.95825,403.4008,104609.89,1
