Unnamed: 0,HDR-T,FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,FITC-A,FITC-H,FITC-W,gate
0,51.74811,7681.3984,7043.4883,142942.84,137979.69,115116.69,157103.84,14652.176000000001,25201.234,76206.19,0
1,55.29778,11652.295,7650.016,199645.28,16721.723,14161.918,154763.61,21859.656000000003,19850.725,144336.73,1
2,185.66718999999998,8313.325,6490.677,167878.36,7457.1196,7824.7285,124914.19,9808.956,11419.71,112584.25,1
3,219.83954,8837.621,7628.6504,151843.98,20176.818,17670.87,149659.64,24711.475,21250.557,152418.7,1
4,462.2687,9546.472,6776.1885,184657.67,16075.311000000002,17928.875,117521.21,40866.426,91342.195,58641.508,1
5,966.5503,20292.06,15523.453000000001,171335.66,46056.113,44448.137,135813.72,8223.771999999999,14378.725,74965.36,0
6,1273.6545,8254.4,5391.7856,200660.94,13550.514,13625.54,130350.28,34305.457,25670.588,175160.97,1
7,1513.8039999999999,8361.011,7656.423000000001,143134.0,7730.005999999999,8774.36,115471.36,11468.193000000001,28035.139,53616.965,1
8,1625.6439,6786.0996,7512.234,118402.55,9261.771999999999,8533.34,142260.72,28170.577999999998,34197.457,107972.18,1
9,1860.1543,12229.65,9639.283000000001,166295.02,131176.05,112295.7,153109.22,25981.105,28113.152000000002,121131.76,0
10,2265.0598,14126.111,9507.899,194736.78,20703.42,17601.762,154168.58,82493.99,87001.1,124281.79,0
11,2388.9458,6393.1963,5948.3306,140874.66,71007.08,58476.434,159158.81,-11906.657,7931.434,-196765.1,0
12,2406.7812,12959.476999999999,10178.011999999999,166891.58,15946.264,16238.107,128716.27,18512.93,27132.797000000002,89431.5,0
13,2407.8296,6229.0767,5997.861,136124.78,10833.881000000001,10635.223999999998,133520.31,30090.555,26250.17,150247.77,1
14,2425.8447,11152.767,8917.912,163919.02,122443.625,107691.414,149027.02,31045.347999999998,20450.701,198974.88,0
15,2507.0276,10751.123,8716.375,161669.4,20424.014,19271.19,138912.88,7855.6455,15713.098999999998,65528.46,1
16,2550.0378,5026.4175,5417.9033,121601.02,17924.906000000003,18556.178,126613.0,28356.77,29070.367000000002,127854.54,0
17,2567.1868,7864.411999999999,6200.9746,166232.61,11882.962,11502.892,135402.78,1115.4453,10134.827,14425.865,1
18,2601.4517,8373.724,5416.241999999999,202642.47,57530.8,51978.65,145072.6,28037.957000000002,31010.271,118508.836,1
19,2621.7214,19086.043,15590.943000000001,160455.06,235609.22,208867.33,147853.53,29296.28,24283.775,158127.06,0
20,2676.783,10995.558,8680.301,166032.23,143146.77,126727.41,148054.27,3433.845,11383.4,39538.355,0
21,3271.948,9801.503,9016.124,142489.45,123798.055,107217.48,151341.55,-152.45706,12289.815,-1625.9684,0
22,3328.2795,7766.8066,6140.664000000001,165781.89,14433.917,15337.874,123347.11,21922.504,22626.577999999998,126993.414,1
23,3462.5403,4217.419,5553.6465,99535.6,6952.3057,6123.2188,148819.22,25363.035,23395.588,142094.47,0
24,3526.6738,18030.658,13861.55,170494.25,262143.97,250646.88,137728.64,21200.775,20072.432,138440.03,0
25,3531.795,12001.638,7667.1777,205170.5,254078.98,217158.8,153356.17,-4203.460999999999,12811.41,-43005.105,0
26,3621.797,8299.677,6126.089,177577.45,7170.5366,5516.063,170385.39,337.93475,6567.474,6744.4169999999995,1
27,3819.7886,15022.877,16140.037,121999.625,206914.52,189313.78,143257.92,8107.689,11077.598999999998,95931.53,0
28,4105.9873,8290.79,7214.375,150628.5,129853.46,125165.0,135981.73,29877.254,20583.092,190256.72,0
29,4315.3267,14822.883,11463.958,169475.92,6939.5166,6647.3213,136833.52,25622.291,23652.832000000002,141985.75,0
30,4511.6885,8890.2705,6176.7065,188654.83,110115.56,98392.39,146688.86,9857.556,27605.727000000003,46803.68,0
31,4891.141,8043.31,6349.353,166040.97,25758.197,23134.172000000002,145939.02,11568.472,17383.537,87226.36,1
32,5030.6685,7511.8335,5496.4346,179132.67,5732.3706,4895.9062,153465.62,63002.13,52186.223,158237.45,1
33,5073.371,6205.6826,7018.2866,115895.984,24871.303,21208.262000000002,153710.45,10311.805,17583.129,76868.51,0
34,5103.589,6517.853,6709.1006,127335.7,15362.9,16306.364,123488.35,20227.156000000003,12706.245,208654.39,1
35,5221.085999999999,6981.94,6800.1006,134576.95,16308.091,17331.854,123329.805,11011.835,14567.901000000002,99076.95,1
36,5357.6465,10308.423,6540.295999999999,206587.84,186830.19,166943.78,146685.34,-6096.437,14324.283000000001,-55784.445,0
37,5391.2593,13636.335,10374.636999999999,172279.94,32084.432,33761.598,124560.77,26562.623,26709.656000000003,130350.47,0
38,5839.8867,8754.204,5511.579000000001,208185.53,4126.919,2958.4246,182841.75,498.52367999999996,7318.9595,8927.84,0
39,5898.0586,8595.478000000001,5415.8057,208025.64,2305.3875,1661.4575,181871.48,38477.883,30825.48,163610.53,0
40,5915.896,18670.545,15108.395,161975.23,189140.92,163051.33,152044.62,38291.98,44962.324,111626.94,0
41,6052.9233,5943.089,5681.438,137108.34,11390.541000000001,12053.966999999999,123858.06,12005.002,17665.297,89074.055,0
42,6206.0509999999995,5241.9106,5702.9424,120476.01,13428.471000000001,12223.993,143987.03,15040.055,20963.873,94034.63,0
43,6279.397,12577.343,11267.545,146308.48,24394.076,22675.355,141006.84,31103.664,28359.014,143757.45,1
44,6467.0664,10610.622,6965.379,199666.88,4545.9395,3347.5508,177994.42,10398.154,26509.936,51411.17,0
45,6713.939,10020.638,7768.481,169071.02,142170.81,136294.64,136723.0,3238.2870000000003,13125.719,32337.183999999997,0
46,6800.6147,15777.171,12909.713,160185.23,13505.155,13295.456,133139.3,1850.7128,13254.356000000002,18301.652,0
47,6808.9766,5072.396,6794.7407,97847.6,6864.5923,5619.014,160127.0,14356.083999999999,8849.530999999999,212630.55,0
48,6835.5376,6748.4106,7839.4653,112830.1,13698.751,12765.473999999998,140654.61,-2671.96,7498.5723,-46704.777,1
49,6918.2134,7957.0869999999995,5554.0806,187781.1,114772.945,102651.91,146548.86,12227.163,9464.367,169333.95,0
50,6945.303000000001,7376.411999999999,5707.556,169396.69,18573.824,17383.01,140051.02,21601.217,17135.709,165228.92,1
51,7508.5024,3586.6973,6263.88,75051.82,14861.243,15634.545,124589.03,9037.49,24031.093999999997,49292.883,0
52,7586.7880000000005,6423.3677,5606.821999999999,150160.6,28840.037,30024.209,125902.445,11208.771,15389.428999999998,95465.28,0
53,7837.6206,14118.35,12202.628999999999,151649.31,187082.98,152552.94,160739.88,-1205.4856,14313.496000000001,-11038.911,0
54,7925.432,6828.9756,5360.255,166986.0,1935.6571,2698.8296,94007.586,26407.467,15280.031,226523.06,0
55,7953.955,9368.826,7226.6646,169924.97,157379.1,142859.69,144393.38,2842.695,16447.883,22653.232000000004,0
56,7970.819,9207.775,9109.362,132488.03,23609.225,20776.674,148941.47,53031.18,54620.902,127257.195,1
57,7983.2715,5662.7705,6089.4478,121888.01,17182.209,15802.225,142518.31,24783.416,33397.254,97265.836,0
58,8103.25,12931.43,6967.568,243262.55,10014.06,6114.465,214665.2,31640.744,37258.305,111309.83,0
59,8297.622,8161.94,7164.509,149319.62,14193.355,13790.063999999998,134905.2,28675.022999999997,27966.748,134391.48,1
