Unnamed: 0,HDR-T,FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,FITC-A,FITC-H,FITC-W,gate
0,10.72701,12111.01,11859.068000000001,133856.58,18703.25,19059.652,128621.05,617.487,950.6096,85140.375,0
1,12.069023,5109.757000000001,5725.5,116975.99,23838.479,21903.564,142650.62,379.78397,501.5321,99253.95,0
2,50.598244,12971.71,10216.625,166417.77,4365.3174,4026.4709999999995,142102.33,595.8278,870.9200400000003,89671.086,0
3,68.51357,7088.7993,5825.3027,159501.25,18064.734,16838.096,140620.47,153.03548,256.72406,78133.17,1
4,84.65773,6008.163000000001,5628.064,139924.12,17883.145,16803.064,139497.14,489.53952000000004,316.07043,203008.31,1
5,95.20107,13485.403,8242.902,214434.03,22153.017999999996,12088.048,240207.55,94.36251,417.6137,29616.564,0
6,99.214386,11644.561000000005,7661.874,199203.98,15851.495,13874.405,149749.64,442.11765,510.8086,113446.1,0
7,114.16564,8379.722,7825.581,140353.39,16750.102,15053.434,145845.08,45.329025,468.0942,12692.671999999999,1
8,122.361374,10246.168,8797.683,152652.22,13852.43,14536.088,124907.45,72.9702,422.2875,22648.90600000001,0
9,150.99643999999995,7033.4565,5895.8867,156361.42,26166.492000000002,17737.365,193359.86,755.29364,730.54987,135511.42,1
10,158.71391,9915.846,7983.964,162787.53,22125.326,23287.53,124530.63,116.470924,504.27054000000004,30273.586,1
11,163.77647,10300.636,9430.595,143164.34,12362.194,11896.372,136204.34,513.33685,584.8995,115035.305,0
12,185.06683,9918.003,6618.5390000000025,196413.81,17221.3,17068.13,132248.25,323.47684,677.1519,62613.36,1
13,202.02202,7080.483,6486.7617,143068.78,20428.549,19992.637,133929.84,-1.1554954,210.3233,-720.0966,1
14,220.27194,16242.309,12453.831,170944.33,14707.523000000001,15058.469,128017.3,519.3923,466.66357,145881.94,0
15,228.91137999999998,7997.93,5424.4116,193256.84,21603.112999999998,22966.362999999998,123291.76,379.26099999999997,675.337,73608.43,1
16,230.78256000000002,6570.4536,5559.8604,154896.42,22270.362999999998,21154.666,137984.73,724.3374,505.88547,187671.64,1
17,236.29608,13109.373,10733.391000000001,160086.58,25174.084,24448.35200000001,134962.78,91.270386,697.5651,17149.643,0
18,241.44227999999998,9250.767,7970.518,152125.17,26143.408,21683.04,158034.53,627.2396,745.51935,110276.88,1
19,245.9102,4562.088,5869.4569999999985,101876.88,20255.79,19056.23,139322.77,574.35114,479.0427,157149.56,0
20,255.00607000000002,8444.939,5492.7495,201519.31,18023.426,18261.998,129359.695,100.02337,464.4807,28225.635,1
21,256.54082999999997,5162.4556,7431.9404,91046.664,23722.31,25200.362999999998,123384.36,419.47916,439.16864000000004,125195.58,0
22,263.58185,11719.972,9854.35,155886.5,10138.071,9466.335,140372.94,220.41396,516.25977,55960.39,0
23,272.3031,11429.469,8358.153,179236.16,13197.45,13793.921999999999,125404.234,154.19797,495.7129,40771.656,0
24,276.94016,5342.8769999999995,6291.995,111300.4,22386.064,22263.062,131796.17,615.9523,417.8191,193227.39,0
25,285.7887,6540.0356,5481.653,156379.03,24636.218999999997,23069.34,139974.47,245.43694,494.042,65115.74,0
26,288.7328,6566.1353,6076.9995,141621.94,6389.004,6395.063,130947.81,482.7386,1007.4258,62807.12,0
27,289.94568,10665.918,8882.811,157382.98,20190.34,20641.227,128208.87,117.25981000000002,178.78351999999995,85966.97,1
28,313.81277,7260.3286,5999.7609999999995,158610.61,25001.375,26737.895,122559.4,-136.33069,480.22625999999997,-37209.83,1
29,326.38912999999997,6043.2393,5404.384,146566.1,20070.902,22978.123,114488.61,325.95718,382.5537,111680.69,1
30,340.0766,13112.038,11495.761999999999,149500.4,33699.547,30684.365,143951.72,192.9267,695.99445,36332.6,0
31,346.05017000000015,28418.35200000001,22474.59,165736.06,41435.375,39125.656,138809.62,316.33755,430.74612,96258.55,0
32,353.57855,8825.931,8310.768,139196.81,16061.626,18368.459,114611.11,204.7759,293.6806,91393.12,1
33,375.16348,21039.396,11471.221000000001,240399.5,47075.703,36646.477,168373.8,1041.6392,1637.6581,83368.88,0
34,381.0989,16467.598,13128.596000000001,164407.61,58638.633,56398.613,136277.88,496.96872,311.82062,208897.94,0
35,397.95407,8878.735,6010.4062,193623.12,20159.4,11416.223,231454.22,36.12304,521.41895,9080.45,1
36,405.22964,6308.946,6147.46,134515.1,15325.45,7463.5283,262143.97,145.20348,344.42874,55257.03,1
37,421.4102,11458.292,9603.404,156388.42,13100.216,12900.128999999999,133104.98,130.45163,281.0275,60843.0,0
38,422.46307,4005.3013,5350.8228,98112.55,8805.1045,9195.138,125512.27,82.46812,460.25858,23485.19100000001,0
39,430.44968,8157.0845,5806.599,184129.36,30881.746,29434.627,137516.0,410.0146,505.76773,106257.14,0
40,443.35155999999995,10974.937,8600.761,167253.45,38783.625,23467.83,216613.44,450.849,367.91528,160617.62,0
41,455.02234000000004,9841.491,7524.967,171421.88,18758.361,15291.148000000001,160792.11,569.146,685.4810000000001,108827.38,1
42,468.90435999999994,6686.5986,5872.9614,149230.66,17892.281000000006,18267.44,128380.17,237.22427000000002,352.0545,88320.016,1
43,470.2591,6468.6865,6797.172,124737.71,10999.354,12291.788,117290.28,462.1575,461.6589,131213.56,0
44,471.7593,12098.2705,8141.4805,194773.48,17870.967,15303.103000000001,153065.9,530.6127,742.5057,93667.25,0
45,482.69363,11239.617,8775.442,167877.47,31721.611,31101.43,133685.66,545.99585,567.3019400000002,126149.34,1
46,490.0347,6645.5769999999975,7683.4519999999975,113366.89,18277.291,19895.068,120413.81,255.45572,416.34378,80421.74,1
47,532.0044,6516.571999999999,6442.78,132573.22,4781.21,4370.382000000001,143393.14,-82.01364000000002,359.8885,-29869.507999999998,0
48,533.6228,17234.121,13788.866000000002,163821.36,25271.057,27464.27,120604.99,138.44974,407.82706,44496.52,0
49,536.57776,9884.913,7681.3335,168673.23,5905.2075,4994.835,154961.55,-73.03957,365.2995,-26207.107000000004,0
50,562.68884,7478.7896,7609.9307,128813.25,23457.593999999997,21368.117000000002,143888.84,581.04865,668.4988400000002,113925.71,1
51,571.7592,14675.301000000001,13608.926000000001,141342.61,37268.96,38634.934,126437.836,293.5323,608.2956,63248.633,0
52,583.73376,4125.713,5857.7676,92315.96,9533.062,10929.005,114330.39,387.31,386.8019,131244.17,0
53,588.6926,11229.06,6950.2266,211765.08,35288.96,22828.81600000001,202612.11,48.95744000000001,494.65698,12972.523000000001,0
54,593.36786,12408.895,10039.958,161998.55,25228.104,23809.053,138884.06,310.2652,732.6715,55505.203,1
55,593.9952400000002,2675.6267,5449.8936,64349.832,26043.955,25819.951,132209.12,518.72595,483.61877000000004,140586.86,0
56,598.605,12786.438,8747.088,191600.23,22977.86,21114.006,142642.47,226.98125,468.16983,63547.207,0
57,603.5748,5455.199000000001,5359.081,133422.84,7741.6494,7769.4277,130603.375,138.24416000000002,450.034,40263.49,0
58,604.73315,8800.461,7430.28,155242.34,18919.951,19637.68,126281.51,535.9722,729.00226,96365.89,1
59,610.3430000000002,4163.192,6294.821999999999,86686.79,16276.116000000002,17286.068,123414.016,14.183354000000001,392.88205,4731.803,0
60,622.33203,10677.181,8488.205,164873.42,36616.38,34684.03,138374.4,161.15382,489.2497,43173.77,0
61,640.0928,5532.5146,6610.9062,109691.125,22166.025,20712.43,140270.61,145.90204,432.69052,44197.113,0
62,649.4178,6232.316,5350.844,152664.16,15065.338,13269.13,148814.88,205.701,385.24838,69985.086,0
63,653.3347,15752.123,12257.781,168436.86,16846.893,17066.428,129385.945,880.96655,839.68585,137515.77,0
64,653.7766,5904.306,5789.9185,133661.5,13887.915,11792.143,154366.92,260.59805,634.0085,53874.84400000001,0
65,655.9242,12033.081,11377.808,138620.73,13122.678999999998,11952.827,143900.33,-22.01513,337.11542000000014,-8559.582,0
66,657.55896,6880.4834,5874.1,153527.98,7520.4890000000005,7605.0713,129614.234,388.79132000000004,534.0243,95425.73,0
67,666.8294,6827.248000000001,6956.279,128640.766,18733.992,18463.393,132992.98,111.00634,350.47997999999984,41513.992,1
68,680.1332,9663.110999999999,8465.981,149606.2,29843.637000000002,30641.257999999998,127660.07,-11.227648,597.6038,-2462.5515,1
69,690.03094,8063.1836,6390.9697,165367.33,35478.22,32262.426,144136.75,112.28351,558.1503,26367.85,0
70,745.2735,16272.665,13804.82,154503.33,11651.721000000001,9086.975,168066.31,521.609,490.09085,139501.34,0
71,803.59106,8944.877,5633.156999999997,208128.92,28694.334,21721.045,173151.14,391.5286,493.73105,103940.06,1
72,828.7838,7254.0435,6070.029,156638.8,26757.09,23165.596,151392.84,1002.1145,663.45575,197977.27,1
73,834.7447,5804.294,5650.0337,134650.6,14737.8545,16198.976,119249.52,223.50565,437.00162,67037.125,0
74,839.2689999999999,7944.7974,7180.641,145020.55,25021.646,24458.479,134090.0,430.2519,461.74282999999997,122132.87,1
75,846.2227,9547.412,5386.1055,232338.27,38053.004,19445.926,256489.89,515.845,307.80737,219659.56,0
76,846.4955,6788.4126,6498.8027,136913.03,24565.791,27398.201,117521.85,332.16292999999996,628.67944,69251.92,1
77,855.50946,11457.273000000001,8394.452,178895.27,18503.96,17456.115,138939.92,260.95602,415.07822000000004,82403.81,0
78,866.61475,11547.186000000005,10181.737,148649.75,27535.295,29262.047000000002,123337.445,-21.311117000000007,521.14355,-5359.9259999999995,1
