Unnamed: 0,HDR-T,FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,FITC-A,FITC-H,FITC-W,gate
0,141.86656000000002,5410.0303,5435.4883,130458.1,9928.502,9692.684000000001,134260.92,4407.5933,18397.234,31402.115,0
1,171.38359,22606.21,18122.016,163505.06,250160.08,226181.92,144967.3,14551.733999999999,15358.725,124185.11,0
2,179.11389,8829.63,7142.677,162028.5,14839.066,16640.729,116881.07,522.02094,21631.71,3163.0566,1
3,206.25,5155.0815,6204.6504,108900.07,9622.078000000001,9262.869,136154.9,27847.722999999998,24734.557,147569.12,0
4,312.46075,6867.4937,5716.1885,157471.39,7808.805,8760.874,116828.04,2885.6665,16098.195,23495.186,1
5,315.66745,129954.914,93587.45,182005.7,122841.29,102700.14,156777.33,55140.082,33414.723,216291.52,0
6,387.5702,7885.21,6191.7856,166919.58,111987.71,99425.54,147632.62,15910.561000000002,16322.588,127763.38,0
7,486.0634,4789.041,5904.423000000001,106311.695,10302.161,8970.36,150531.84,19948.342,22051.139,118572.97,0
8,609.8701,6562.149,5932.234,144989.89,5046.0605,3913.34,169010.94,15234.837,24681.459,80905.29,0
9,625.89825,11394.753999999999,6923.283,215726.14,42150.414000000004,36031.707,153329.92,18057.553,24041.152000000002,98449.51,0
10,687.37506,7380.41,6679.899,144817.33,12848.2705,14637.761999999999,115048.23,39270.53,31193.102000000003,165013.0,1
11,885.2272,4890.1953,6140.3306,104386.51,4604.227,4344.4346,138909.97,24348.09,15183.435,210186.48,0
12,899.3182,6438.6630000000005,5462.0117,154508.72,18618.682,17902.107,136318.47,40321.437999999995,69316.8,76244.31,1
13,962.4938400000001,4399.0513,5457.861,105644.41,9182.828000000001,9155.224,131467.2,-3239.7117,14074.171,-30171.262000000002,0
14,982.36536,10352.54,6709.911999999999,202227.4,14427.138,14847.413,127361.836,36686.285,45594.7,105462.805,1
15,1055.2939999999999,23480.717,18560.375,165819.1,11495.963,10399.188,144895.81,19369.908,22329.097999999998,113701.53,0
16,1055.6432,10258.81,7553.9033,178006.34,16907.29,17612.178,125826.13,15130.546999999999,30170.367000000002,65733.08,1
17,1483.6038,43433.25,24268.975,234574.52,44941.49,37198.89,158353.4,11362.839,22630.827999999998,65810.67,0
18,1483.6273,82426.51,58316.242,185262.4,98251.445,75374.65,170853.38,30089.123,19822.271,198960.12,0
19,1521.1439,14359.648000000001,10430.943000000001,180438.89,216306.34,213163.33,133004.61,1442.9720000000002,13831.774,13673.823,0
20,1635.7761,25013.572,18072.3,181414.58,69345.09,60939.405999999995,149151.44,7714.2119999999995,16087.4,62851.496,0
21,1743.7167,7011.955,6132.1235,149878.1,15664.44,16313.479,125857.25,37913.574,31193.816000000003,159307.47,1
22,1829.4158,9894.809000000001,7872.664000000001,164738.69,18376.953,16185.874,148815.19,30547.892999999996,29470.577999999998,135863.42,1
23,1856.8611,15571.448,12325.646,165588.14,176765.19,151843.22,152584.8,14975.088,13971.588,140486.16,0
24,2322.8894,6875.2793,6889.55,130800.51,13042.25,11070.878999999999,154411.75,11381.606000000002,11324.431,131733.77,1
25,2453.3586,13267.569,12223.178,142271.25,253066.98,229702.8,144403.97,8917.8125,19423.41,60178.7,0
26,2456.3599,7446.977,6470.089,150861.94,17352.338,14908.063,152562.11,26599.222999999998,28479.475,122418.45,1
27,2544.5781,8956.525,8116.0366,144645.69,16101.793,15077.776000000002,139973.84,28761.771,33989.598,110912.26,1
28,2556.0007,7652.670999999999,5634.375,178023.45,6957.826999999999,7053.0005,129303.31,4241.903,20551.092,27054.266,0
29,2607.1646,9950.311,7215.9580000000005,180739.28,154801.45,138567.33,146428.0,17137.457,14952.833,150221.75,0
30,2761.5613,22333.885,18388.707,159192.64,262014.23,244784.39,140297.88,10398.225,14345.726999999999,95005.02,0
31,2827.238,11636.832,9777.354,155999.56,142592.16,126538.17,147701.19,8750.813,10619.538,108007.2,0
32,2835.6523,13145.276000000002,10960.435,157199.77,219296.27,201635.9,142551.98,31713.656000000003,36006.223,115445.945,0
33,3002.2065,5954.5576,5458.2866,142989.16,8947.363000000001,8088.262,144993.92,17185.879,19407.129,116070.11,1
34,3034.6775,13855.758999999998,12593.101,144214.05,17404.695,15078.364,151294.14,28504.906000000003,29098.244,128399.33,0
35,3046.7805,4964.508,5756.1006,113046.664,14105.127,13975.854,132284.39,9529.448,18511.902,67472.48,0
