area_pix,aspect_ratio,mean_yfp,mean_mch,position,strain,atc_ngml,xan_mgml,promoter
449.0,0.38840941280192975,111.07349665924276,852.3028953229399,1.0,dilution,1.5,0.0,27yfp
750.0,0.28817242244031166,114.03466666666667,762.4133333333333,1.0,dilution,1.5,0.0,27yfp
551.0,0.28460385916616704,110.2087114337568,931.4827586206897,1.0,dilution,1.5,0.0,27yfp
808.0,0.1912021818740767,111.74257425742574,1227.4950495049504,1.0,dilution,1.5,0.0,27yfp
498.0,0.32669679347305863,116.34738955823293,1552.8152610441766,1.0,dilution,1.5,0.0,27yfp
409.0,0.3155900040173914,112.33496332518338,1285.239608801956,1.0,dilution,1.5,0.0,27yfp
418.0,0.3222208324539093,116.39712918660287,1566.6674641148325,1.0,dilution,1.5,0.0,27yfp
451.0,0.2766287701118491,115.92461197339246,2020.7383592017738,1.0,dilution,1.5,0.0,27yfp
368.0,0.25637545528870537,123.8586956521739,1513.679347826087,1.0,dilution,1.5,0.0,27yfp
736.0,0.2113281989740449,110.55163043478261,983.3451086956521,1.0,dilution,1.5,0.0,27yfp
380.0,0.2781174931965661,111.60526315789474,1224.2289473684211,1.0,dilution,1.5,0.0,27yfp
589.0,0.3334438759529713,112.05432937181664,1823.7317487266553,1.0,dilution,1.5,0.0,27yfp
497.0,0.22452599463662748,112.54124748490946,1977.1167002012073,1.0,dilution,1.5,0.0,27yfp
768.0,0.1763963675951879,111.3046875,1116.15234375,1.0,dilution,1.5,0.0,27yfp
419.0,0.3419626304496645,110.88305489260144,1465.2291169451073,1.0,dilution,1.5,0.0,27yfp
467.0,0.29201935003964663,112.69379014989293,842.3875802997859,1.0,dilution,1.5,0.0,27yfp
533.0,0.24124069354884134,111.62288930581613,1345.5272045028144,1.0,dilution,1.5,0.0,27yfp
477.0,0.330429212301749,112.75052410901468,868.4570230607967,1.0,dilution,1.5,0.0,27yfp
741.0,0.2203688474316557,115.12280701754386,1183.5695006747637,1.0,dilution,1.5,0.0,27yfp
433.0,0.29960365637809006,112.48267898383372,1109.8036951501156,1.0,dilution,1.5,0.0,27yfp
455.0,0.29830704765299576,112.01758241758242,1109.4373626373626,1.0,dilution,1.5,0.0,27yfp
618.0,0.2799212980431188,110.05825242718447,1749.467637540453,1.0,dilution,1.5,0.0,27yfp
502.0,0.20920927908498033,111.76892430278885,1403.6454183266933,1.0,dilution,1.5,0.0,27yfp
241.0,0.35428432950110345,112.48132780082987,1695.9502074688796,1.0,dilution,1.5,0.0,27yfp
596.0,0.19690029554237864,117.70469798657719,1124.0989932885907,1.0,dilution,1.5,0.0,27yfp
466.0,0.2909261481820894,116.4098712446352,1194.4141630901288,1.0,dilution,1.5,0.0,27yfp
531.0,0.2403103083847268,113.29378531073446,1099.0395480225989,1.0,dilution,1.5,0.0,27yfp
358.0,0.34961254992783264,113.33798882681565,1962.1620111731843,1.0,dilution,1.5,0.0,27yfp
392.0,0.359014111984182,113.70408163265306,989.9872448979592,1.0,dilution,1.5,0.0,27yfp
241.0,0.3566298188709538,116.65145228215768,1322.622406639004,1.0,dilution,1.5,0.0,27yfp
260.0,0.4512449269203916,116.79615384615384,1196.2961538461539,1.0,dilution,1.5,0.0,27yfp
292.0,0.32288711093428746,113.3082191780822,1655.640410958904,1.0,dilution,1.5,0.0,27yfp
436.0,0.33605559204793095,116.19954128440367,1298.795871559633,1.0,dilution,1.5,0.0,27yfp
469.0,0.34161194785652166,113.53304904051173,1791.2686567164178,1.0,dilution,1.5,0.0,27yfp
363.0,0.2959214099991561,113.51515151515152,1045.0220385674932,1.0,dilution,1.5,0.0,27yfp
308.0,0.2510823554075006,124.84740259740259,1875.9707792207791,1.0,dilution,1.5,0.0,27yfp
654.0,0.29578314808937434,114.40672782874617,1485.8868501529053,1.0,dilution,1.5,0.0,27yfp
837.0,0.2404248319784276,112.85543608124253,1214.4396654719235,1.0,dilution,1.5,0.0,27yfp
437.0,0.3370648221170146,114.09153318077803,2023.8672768878719,1.0,dilution,1.5,0.0,27yfp
931.0,0.18973085429860118,110.81740064446831,1005.5982814178303,1.0,dilution,1.5,0.0,27yfp
439.0,0.33808080133530016,114.26195899772209,680.4168564920274,1.0,dilution,1.5,0.0,27yfp
493.0,0.2922563020087171,114.10750507099391,678.9411764705883,1.0,dilution,1.5,0.0,27yfp
321.0,0.33387071056946527,111.75077881619937,1180.2803738317757,1.0,dilution,1.5,0.0,27yfp
708.0,0.20343628079981738,110.32768361581921,1141.7669491525423,1.0,dilution,1.5,0.0,27yfp
591.0,0.2670737569584076,110.88324873096447,1524.1472081218274,1.0,dilution,1.5,0.0,27yfp
