,area_pix,aspect_ratio,mean_yfp,mean_mch,position,strain,atc_ngml,xan_mgml,promoter,mean_yfp_corr,mean_mch_corr,total_mch,appx_activators,fold_change
0,449.0,0.38840941280192975,111.07349665924276,852.3028953229399,1.0,dilution,1.5,0.0,27yfp,-0.3856005283474673,455.3255705806853,204441.1811907277,34.07353019845461,-0.2447298551914666
1,750.0,0.2881724224403117,114.03466666666668,762.4133333333333,1.0,dilution,1.5,0.0,27yfp,2.5755694790764494,365.4360085910787,274077.006443309,45.679501073884836,1.6346418101428428
2,551.0,0.28460385916616704,110.20871143375679,931.4827586206897,1.0,dilution,1.5,0.0,27yfp,-1.2503857538334415,534.505433878435,294512.4940670177,49.08541567783628,-0.7935848163397385
3,808.0,0.1912021818740767,111.74257425742573,1227.4950495049507,1.0,dilution,1.5,0.0,27yfp,0.2834770698354987,830.517724762696,671058.3216082584,111.8430536013764,0.17991495641424096
4,498.0,0.32669679347305863,116.34738955823292,1552.8152610441766,1.0,dilution,1.5,0.0,27yfp,4.888292370642688,1155.8379363019221,575607.2922783572,95.93454871305953,3.102462253171323
5,409.0,0.3155900040173914,112.33496332518337,1285.2396088019561,1.0,dilution,1.5,0.0,27yfp,0.8758661375931354,888.2622840597015,363299.27418041794,60.549879030069654,0.5558877057012858
6,418.0,0.3222208324539093,116.39712918660288,1566.6674641148325,1.0,dilution,1.5,0.0,27yfp,4.938031999012651,1169.690139372578,488930.4782577376,81.48841304295627,3.1340306021578406
7,451.0,0.2766287701118491,115.92461197339244,2020.7383592017734,1.0,dilution,1.5,0.0,27yfp,4.465514785802213,1623.7610344595187,732316.2265412429,122.05270442354049,2.83413716150295
8,368.0,0.25637545528870537,123.8586956521739,1513.679347826087,1.0,dilution,1.5,0.0,27yfp,12.399598464583676,1116.7020230838325,410946.3444948504,68.4910574158084,7.869677849443813
9,736.0,0.2113281989740449,110.5516304347826,983.345108695652,1.0,dilution,1.5,0.0,27yfp,-0.9074667528076361,586.3677839533974,431566.6889897005,71.92778149828342,-0.5759437310873226
10,380.0,0.2781174931965661,111.60526315789473,1224.2289473684214,1.0,dilution,1.5,0.0,27yfp,0.1461659703044944,827.2516226261667,314355.61659794336,52.39260276632389,0.09276744744059445
11,589.0,0.3334438759529713,112.05432937181664,1823.7317487266555,1.0,dilution,1.5,0.0,27yfp,0.5952321842264041,1426.754423984401,840358.3557268122,140.0597259544687,0.3777771956779142
12,497.0,0.22452599463662748,112.54124748490946,1977.1167002012075,1.0,dilution,1.5,0.0,27yfp,1.082150297319231,1580.139375458953,785329.2696030997,130.8882116005166,0.6868104841383769
13,768.0,0.1763963675951879,111.3046875,1116.15234375,1.0,dilution,1.5,0.0,27yfp,-0.15440968759023121,719.1750190077454,552326.4145979484,92.05440243299141,-0.09799950390645021
14,419.0,0.3419626304496645,110.88305489260144,1465.229116945107,1.0,dilution,1.5,0.0,27yfp,-0.5760422949887953,1068.2517922028524,447597.5009329951,74.59958348883252,-0.36559791046171664
15,467.0,0.29201935003964663,112.69379014989292,842.3875802997859,1.0,dilution,1.5,0.0,27yfp,1.234692962302688,445.4102555575313,208006.5893453671,34.66776489089452,0.7836250410890924
16,533.0,0.2412406935488413,111.62288930581612,1345.5272045028146,1.0,dilution,1.5,0.0,27yfp,0.16379211822588502,948.54987976056,505577.08591237845,84.26284765206307,0.10395426984167333
17,477.0,0.33042921230174893,112.75052410901468,868.4570230607968,1.0,dilution,1.5,0.0,27yfp,1.2914269214244456,471.4796983185422,224895.81609794463,37.48263601632411,0.819632495902004
18,741.0,0.2203688474316557,115.12280701754385,1183.5695006747635,1.0,dilution,1.5,0.0,27yfp,3.6637098299536177,786.5921759325089,582864.8023659891,97.14413372766485,2.325254013501122
