,date,promoter,strain,atc_ngml,xan_mgml,mean_FITC,fold_change
0,20190205,27yfp,dilution,10.0,1.0,5452.629957495946,558.2454343129625
1,20190205,27yfp,dilution,10.0,0.1,753.6759032333766,16.27716963139398
2,20190205,27yfp,dilution,10.0,4.0,44010.01334361824,5005.379397132288
3,20190205,27yfp,auto,10.0,0.0,612.5501635624437,0.0
4,20190205,27yfp,delta,10.0,0.0,621.2203281467546,1.0
5,20190205,27yfp,dilution,10.0,3.5,36379.3410976132,4125.272431249181
6,20190205,27yfp,dilution,10.0,3.0,26477.036599930125,2983.1597987390905
7,20190205,27yfp,dilution,10.0,0.05,615.3542149168107,0.323413855308022
8,20190205,27yfp,dilution,10.0,2.5,35523.53154944516,4026.5650145852946
9,20190205,27yfp,dilution,10.0,0.5,3667.4370589074715,352.34474105289775
10,20190205,27yfp,dilution,10.0,0.75,9254.8781445014,996.7893800514107
11,20190205,27yfp,dilution,10.0,1.5,15306.954036993367,1694.8240982669688
12,20190205,27yfp,dilution,10.0,0.25,1933.8824692953049,152.3999103919987
13,20190205,27yfp,dilution,10.0,0.0,606.2836575589647,-0.7227666721365984
14,20190205,27yfp,dilution,10.0,2.0,26008.616241740096,2929.1331013638573
