,date,promoter,strain,atc_ngml,xan_mgml,mean_FITC,fold_change
0,20190219,27yfp,dilution,10.0,2.5,24165.622388313284,50.631580221821075
1,20190219,27yfp,dilution,10.0,4.0,37198.14292535818,77.93719223796482
2,20190219,27yfp,dilution,10.0,3.5,33908.39546270477,71.04454491076746
3,20190219,27yfp,dilution,10.0,2.0,14308.63946307049,29.979324148916945
4,20190219,27yfp,dilution,10.0,6.0,31974.02010521615,66.991660217048
5,20190219,27yfp,dilution,10.0,3.0,25059.719612163928,52.504884148700036
6,20190219,27yfp,auto,10.0,0.0,458.0166012006704,0.9596319893599149
7,20190219,27yfp,dilution,10.0,20.0,51660.372566309874,108.23831705428094
8,20190219,27yfp,delta,10.0,0.5,477.2835902502297,1.0
9,20190219,27yfp,dilution,10.0,8.0,41135.2112217992,86.18609996675747
10,20190219,27yfp,dilution,10.0,5.0,38718.62384602703,81.12288927789803
11,20190219,27yfp,dilution,10.0,1.5,3593.64560607941,7.529371802192775
12,20190219,27yfp,dilution,10.0,10.0,38594.25428986189,80.86231137682262
13,20190219,27yfp,dilution,10.0,15.0,45813.17909254762,95.98733337663829
14,20190219,27yfp,dilution,10.0,1.0,479.32947538442676,1.0042865189082333
